id,alpha,beta,p,sd_0,sd_r,tau,X^2,bic
216.0,0.13444951682086356,0.632969882955674,0.5290797000591307,0.24913810363705924,0.02570189801452498,0.33555305600643365,11.08008728790231,1795.9603374899564
217.0,0.07947943554583828,0.4012692522075913,0.4071643130694459,0.3754608943839568,0.019490959478399277,0.27019726308824105,62.676798882039655,1978.423077835745
218.0,0.11734459226162736,0.24265787798380956,0.5126918570291892,0.2858821449840656,0.020007908431172373,0.2734280786333157,72.81812910780582,1950.9058329348213
219.0,0.11585523777325046,0.34104921726863824,0.5494269428746077,0.29145212492148675,0.017043675187040468,0.26509078341292824,48.34842223159604,1851.4772918309372
220.0,0.12676788146660256,0.32838553463349385,0.5496532393644591,0.30652922326135545,0.014612026274250392,0.25296780355371146,29.049523485513937,1850.380335124481
221.0,0.0819700893432044,0.40251470450305077,0.3915954206372115,0.266139347865715,0.021036080880016066,0.34231159197223976,28.00382022020198,1860.8615138889675
222.0,0.1106992353993088,0.4216337526264696,0.41287861749705135,0.30904792020009775,0.019083641690987717,0.24423704880208535,68.26001242569058,1931.1753587776573
223.0,0.08707218142769238,0.4317771901248477,0.5402191465157224,0.26219205320252437,0.0138666709518049,0.27786086383908215,26.901632015077965,1848.2324436540448
224.0,0.13057057371548375,0.27211204768323977,0.35181286344272916,0.3254040924886161,0.022695153245199835,0.21215358188681732,16.569849313090042,1867.115516532695
225.0,0.11809606339188855,0.33965041128094675,0.3291248357041358,0.19975836919340573,0.021416892809828003,0.20359110526873198,37.069565542684046,1899.812527377479
226.0,0.07006157303047301,0.37969673117745845,0.39321962676470756,0.32207888193075096,0.01963471592740715,0.23810147790997818,94.2006959583648,2036.9338386021866
227.0,0.17530495809265606,0.6353998848344011,0.44803723423875563,0.21867113296604845,0.012361949684140987,0.331039896867399,58.467779881700864,1897.9533985668877
228.0,0.12948842786522505,0.3022467677703351,0.519654160829876,0.2947715059704905,0.01357731158665043,0.2661092999996903,41.37691220962136,1862.2370235563155
229.0,0.07025026248700246,0.5477832350553582,0.2488896424061063,0.49838919219482913,0.010425639547981553,0.2531371214115908,110.92540929359451,2071.3185922466328
230.0,0.09089235506427941,0.3142641288286759,0.24765868728881332,0.2863812294828689,0.021662486329677866,0.1869366385497041,157.9630076803877,2247.8565464199387
301.0,0.18617968509596788,0.5969409077691769,0.45809367149262126,0.28734604273384945,0.023609325805635867,0.3042037090479502,29.19914138307957,1814.0793915851339
302.0,0.08430927895973836,0.37348561988865264,0.4816140916529979,0.4867071015091671,0.018488621907546385,0.380987999165502,96.07507255405038,2023.8887601561864
303.0,0.1613931873021802,0.456918854107197,0.5426564276760709,0.29341876862834626,0.012273578242454307,0.39355663443295874,39.36271524118997,1824.242965443244
304.0,0.1616133914505052,0.2812762363114813,0.34402619588207806,0.14418569910058054,0.021415731178082868,0.30756024475243693,142.11261443889478,2043.7418708992095
305.0,0.15222867421403766,0.47215641860155566,0.47926494156878785,0.30493710286474407,0.021426110909087095,0.44376240163069464,61.405342404733844,1894.2630360734993
306.0,0.11030560943030215,0.4932017695241704,0.40875022563825014,0.26788401655873484,0.019186551788554825,0.43247278749223267,32.31644199201054,1835.4453115913516
307.0,0.12933021030716274,0.5809053786845921,0.3685004453903124,0.32096731538130574,0.010310247095292815,0.41860752928979333,4.257352755906119,1789.1376029579603
308.0,0.13724372840195054,0.7092151719267942,0.49427239522732636,0.16158702205129516,0.02521273011892615,0.42669300561807416,37.77756287130301,1840.906432470644
309.0,0.15264935865419232,0.44983120421769507,0.5492561339025791,0.42605994760306287,0.013150907482882133,0.44569710390375755,8.339552207931638,1793.219802409986
310.0,0.17152546144308722,0.40942237542576393,0.5265730130039797,0.28775313788518897,0.022048973751491917,0.30643404438579824,2.4250073114350186,1787.3052575134893
311.0,0.18724269865437076,0.5447082522330602,0.5253601441377347,0.32344895446681465,0.016228784861843485,0.34317697821267135,61.70913502289129,1876.8355869443037
312.0,0.12985168589149937,0.218848435664722,0.49915238452558025,0.2811496072964379,0.01769784617729608,0.3024234365848843,15.15232182800609,1817.7638137774134
313.0,0.11044514350371762,0.36759609978956603,0.29123851234902925,0.32887660241218053,0.023439867364339638,0.36739562194449504,83.9335770044575,1993.9300232711846
314.0,0.11199225867181614,0.42415873914871893,0.38479692258982107,0.34720418851503543,0.01604791796480117,0.30023039527071393,76.09128569725974,1960.0014327797244
315.0,0.12879075030624132,0.32256322293896983,0.5420662981740525,0.30580936958558524,0.021505912677846923,0.3270968043809761,27.138325836165038,1860.4195848037973
316.0,0.06982105148766364,0.5130696475145068,0.3157279915314604,0.3145420911151906,0.018293496108559903,0.4071112053855873,33.9722920017224,1902.6727662675476
317.0,0.1897346842730105,0.5198720077045359,0.22568908720610584,1.0648807645839484,0.01810789394321065,0.3889138582972118,1595.8731714200615,3705.560441669033
318.0,0.14774444783018192,0.4287384994686839,0.5499271284140064,0.28659420724199713,0.0158589042464068,0.3501710105697757,45.432367260107426,1848.5612368594484
319.0,0.1460783866899888,0.3506328532949829,0.5066561437914319,0.25615442512811515,0.015714151538047148,0.3205405878015375,19.578529914674192,1822.707399514015
320.0,0.13298483279955844,0.22905861591737742,0.4856109387418562,0.24133811138636574,0.012003856201929206,0.2184404456419032,43.37083105287874,1900.1208579900385
321.0,0.13809679909336675,0.32452924089731205,0.49874639628737805,0.3917741439874858,0.01721460997320362,0.3029096813877674,13.245515942856793,1816.3743855421978
322.0,0.130909330192607,0.2392106503022413,0.5257336198927594,0.3166546705143214,0.021534421088861923,0.2937204453438325,20.1958645600166,1853.4771235276487
323.0,0.17011653651488173,0.2414893093167958,0.5483259826044294,0.32579245156890124,0.01828551743583397,0.2959488284757006,51.83931175308638,1903.2277760752545
324.0,0.18953533844251289,0.23633932909701016,0.2002783612966508,0.44933538602904344,0.016423717858233426,0.44658175450291254,419.56520740598944,2435.6674004813644
325.0,0.1790775171310191,0.33876443811291046,0.55,0.29786120564425955,0.024321025927974804,0.3845206333718245,13.81633227236462,1798.6965824744186
326.0,0.18182383769500324,0.5218787921384833,0.42295181579342594,0.2779136564961655,0.024027828298326486,0.30263778369889954,4.4350744821353345,1789.3153246841894
327.0,0.08963205959851304,0.46547292560591924,0.45623147082052956,0.35047826959279726,0.014166444988483008,0.3532933417006602,34.85461937865623,1856.1854310176232
