id,alphaSS,betaSS,delta_flanker_deltaSS_ratio,alphaRS,betaRS,delta_target,deltaRS,tau,X^2,bic
1.0,0.15895862498278923,0.6804807924928945,0.06509178307713964,0.1744128184879697,0.9939869258419975,0.1465589051439869,0.7317031427087152,0.27707153054116007,165.052431897462,2067.297757277041
2.0,0.1910597745388754,0.7346421623922894,0.04978907881079181,0.15673750778312723,0.9876511211281189,0.145796003689156,0.6073832296329676,0.22810061348967509,340.7718899042986,2302.385284663503
3.0,0.1628051997958813,0.6857110492058158,0.12635167431923222,0.29865073495406746,0.9995767599634763,0.14759825069678112,1.0137845886585368,0.2798327121440779,184.75862842843253,2026.0438469162327
4.0,0.24472202746663202,0.8130904636587333,0.08037850905593125,0.18429351912377467,0.9878599941265109,0.1377166848100847,0.9512378700317613,0.29723519854620684,313.2188504146606,2288.0267259935376
5.0,0.18017994007254118,0.7539187376973767,0.4263687666478498,0.18180629309596474,0.9827893932537927,0.1406040664221312,0.5752512126579387,0.3154624505138061,397.3129422886225,2388.7773031609527
6.0,0.17222008469259256,0.706161214351431,0.05816453245501796,0.1783512930970373,0.9989604996790385,0.14595759618767434,1.1824516683747153,0.29463408111654404,173.79843241240977,2023.4248516072203
7.0,0.14122149320074828,0.664977032026939,0.04619501712564417,0.27976677128628236,0.9984405938225054,0.1481345546482824,0.8126385106228449,0.2480219795128758,123.99793808061327,1973.696293092338
8.0,0.23646285880168644,0.7627164038901066,0.01043286092307405,0.30894495229392904,0.9969067951313445,0.14964738550949863,0.8322935301243208,0.25882690311259293,284.19057963553416,2171.253477919888
9.0,0.27263725764982444,0.8329528199556302,0.1491672034466624,0.18897470685210194,0.9941015203103427,0.1430988354972717,1.039088238613948,0.28213512610668684,96.16099526335321,1972.4350980377328
10.0,0.3182175430131901,0.8429564145383766,0.07898568912891868,0.28558124473461627,0.9950266878995158,0.14620199587116592,1.1354214577098412,0.281352613749806,483.52111694939373,2442.006168771286
11.0,0.20699131972347176,0.6904000034758911,0.017837498042141964,0.30378671178724553,0.9965785719966894,0.14562534035394603,0.521450385808435,0.23854053752797053,558.8748844606421,2600.2182114581756
12.0,0.17818816243171606,0.5463989748714059,0.12471961626307593,0.20407870534045605,0.9966938836318782,0.1484363297559433,0.9581064370629625,0.25815724073372326,201.43788366491094,2140.8096019326185
13.0,0.23642090357602832,0.7891394225885677,0.08331857050753871,0.2310802435036904,0.9922356685365539,0.14888634353296992,1.1254585400687311,0.2618918852790062,324.2017897286671,2301.784706724517
14.0,0.22077442664424365,0.7938044921086698,0.09696552335510356,0.1639610151174062,0.9884900290206365,0.14514897483089767,0.5760754067042422,0.2313791941105403,586.3324673948882,2617.5661339200105
15.0,0.1584618985733759,0.712652055155074,0.03302331794842578,0.26305733333813297,0.9869166314081637,0.1420958567868647,0.4016893509810922,0.24851987571383383,612.6596547743039,2633.164649025007
16.0,0.14735081871012126,0.6934176984099722,0.0399472500417829,0.2756836407864729,0.9893950856328814,0.14965914497650162,0.7865483469116477,0.28228012441361705,385.47641282660254,2344.118054778201
