id,alpha,beta,eta,eta_r,sd_0,sd_r,tau,X^2,bic
1.0,0.09382701062097532,0.18455430088036373,-0.21428346755478567,4.06746557182858,0.2766629831890881,0.02050544805428688,0.20632329365903962,72.65115126283172,1969.3750157245488
2.0,0.07128253085966586,0.22628914816529494,-0.203918816609289,-3.6306725556732116,0.34120010430392056,0.02497363825848362,0.2187861559433925,52.78293104420666,2008.8748648855487
3.0,0.07294598467699495,0.21290584477356733,-0.35705241296088785,-3.2105658540260906,0.3534405351251544,0.020042585486782713,0.2293871726308259,6.566264954525933,1842.3300225244636
4.0,0.107176230954428,0.39747515733189853,0.09033983034790816,-1.0110668375731464,0.32984731108133314,0.016424605159744612,0.2887340735745556,38.339653742643726,2007.6260684036583
5.0,0.09227673393220825,0.3651832401708028,-0.018231677892354248,-4.187558261283689,0.32708121046139893,0.019125294238642575,0.3075534994175626,47.22906556452271,2033.1719655189902
6.0,0.13316978332181137,0.6970460567764756,-0.352951264408238,-2.751291069008187,0.3756518918406744,0.013761439509583083,0.29454635668101986,79.58139562721135,1923.6863539041597
7.0,0.0766082247675865,0.14134404619504704,-0.30948220233423596,0.5696846833336677,0.2719687860841944,0.014629789903062981,0.19732909704603385,28.074568200287423,1872.2514622941499
8.0,0.0741583307148263,0.16462344657105177,-0.35213062514141336,2.223030956772052,0.29460240942511606,0.019994371803999537,0.2201671945606804,39.68893106818494,1921.2303684346768
9.0,0.08174206268521145,0.35565434497595794,-0.1737012455892566,-0.9219257920085056,0.32026970891396456,0.0237548241981157,0.26268869802172284,55.46928087741855,1926.2219227339358
10.0,0.07026103685335205,0.37353688623367265,-0.09303170618387924,0.17671039467028526,0.4934307209476513,0.015770095138777966,0.28804874270081615,76.68670510103526,2029.6502960050648
11.0,0.10132192602071663,0.3020418231438421,0.027686896913472703,-0.6203611489168959,0.3800898410580349,0.02379691402473625,0.23944706861381018,67.35958859726787,2103.1814546769388
12.0,0.11318384513908901,0.28562244019005134,-0.017144608465182065,-2.344302083143543,0.26938384111622105,0.019960190870711225,0.2670855541765479,44.626002409807406,1978.4762597596534
13.0,0.0815982719019627,0.2958844284291391,-0.0801939577474805,-2.626717945931061,0.30575202023015113,0.02085971863711362,0.254589197373002,41.829644583726584,2013.8911006617136
14.0,0.07010431753242541,0.42024573090307754,-0.0010270280093753748,1.2346140257518368,0.4058737586406447,0.014394876430541569,0.2534436975266228,33.51006178442364,2059.2222673916835
15.0,0.08110872215312001,0.5115805718098846,0.14823184762337704,4.899602136384128,0.4022533423244794,0.015751249441266643,0.2761419787083213,65.36216975291102,2080.345703085751
16.0,0.07252405627366189,0.40030740890930405,-0.12017192098246143,-4.863131894868262,0.45772284504373073,0.017123905985404513,0.28809656233329917,75.07743332918746,2028.1976143629236
