id,alpha,beta,mu_c,characteristic_time,peak_amplitude,tau,X^2,bic
1.0,0.16398298969271882,0.21451946822550694,0.6202854166415473,0.9785572049927547,0.033731461329971346,0.21473863648716596,74.11550821953661,1959.7964508455289
2.0,0.12182200925214785,0.21002557937554783,0.601998429159248,0.7328718083145652,0.02539181328366677,0.21473645809202516,93.66828842260124,2038.717300428219
3.0,0.15229871559225633,0.18653534499677338,0.7037977847768736,0.9336522157097257,0.08134644589441728,0.22802630696604326,9.53707322043974,1834.2579089546532
4.0,0.07657460754616005,0.4028943800801849,0.29758693976300676,0.5234321681422557,0.06599661922442077,0.3097015960535881,57.63481255935143,2015.8783053846414
5.0,0.08534558887945451,0.337183356971318,0.35246845188126474,0.5934047290721943,0.09224659570451428,0.3149075496191117,62.258976480306224,2037.1589545990494
6.0,0.20741399385584625,0.593248839701857,0.658660938338216,0.812908306917002,0.1160136570615793,0.28445465849514195,70.71522610409073,1903.777262545315
7.0,0.23936372587026625,0.3984906323048531,0.6879924191109833,0.8339184638595056,0.03535092633211967,0.16647877041250664,74.61033029538484,1907.744302553523
8.0,0.10906518142959555,0.22086830211562725,0.728136262415839,0.7136843853701188,0.08005718049481086,0.26834018893936995,58.60732117922848,1929.105836709996
9.0,0.1632996131026378,0.581313662134422,0.46154565666532127,0.8510541936167415,0.035572831895903934,0.268005317831764,81.59161254036813,1941.3013325611614
10.0,0.08217513553345396,0.31782807610289954,0.39822747824375476,0.807267063072922,0.0986899336364375,0.2814084525437945,79.88555309900954,2021.8062221673147
11.0,0.07567373721619639,0.34030349263951687,0.3201910101950106,0.6965452964880616,0.027977406091465373,0.2739381070560477,70.32291001409821,2095.1018542580446
12.0,0.09946942402534151,0.39469828677778757,0.3030103223881139,0.6617944493232764,0.039776467997911596,0.3081833852609624,65.52733519408213,1988.3346707082037
13.0,0.11695185043556917,0.2104385337027408,0.4910251880770002,0.7551745343040437,0.023744966998473588,0.20804196665753547,100.57540748228391,2061.5939417245468
14.0,0.08472999582737895,0.26017385631647627,0.4101099141258473,0.9213952944038937,0.023750690872211905,0.2224878680993075,37.75257440258118,2052.4218581741166
15.0,0.07773079899596541,0.385919870080065,0.3620829954323245,0.5644684022742963,0.04639369454483444,0.2599982595364715,77.66690030487533,2081.607511801991
16.0,0.07658170291514088,0.33952695968402846,0.39393367664083195,0.9451855271122401,0.09782247926400778,0.29804472578838737,48.08613834115613,1990.1633975391674
