id,alpha,beta,p,sd_0,sd_r,tau,X^2,bic
1.0,0.12248800190794615,0.29274575675149506,0.3575386781769809,0.12551282962497456,0.017815975234194318,0.3482307624434612,16.418802278767547,1896.9659752026103
2.0,0.07622633999007872,0.46361882281595457,0.2584428253629759,0.31597834788148704,0.024300510649891614,0.38436015134519846,47.05019341838828,2022.3680589729347
3.0,0.09639116189093334,0.39115072708638915,0.3137746650011072,0.17044618636732856,0.02155777510531671,0.3269628998282955,72.78797763390907,1985.0763595113224
4.0,0.1407159061680347,0.5721132890973526,0.517665462075338,0.16177804163725096,0.01878099101543612,0.4292114230743541,110.2856781217425,1958.8699941614764
5.0,0.0867946697752827,0.4726697806229317,0.21847622282235246,0.2058915343193437,0.020815546413203382,0.38124146295614103,83.37081670531498,2129.321208745266
6.0,0.08407764450505392,0.4151165890686492,0.404387193169251,0.4832856796493725,0.01695144364858394,0.3161787353309168,154.48590762436226,2040.5339713053181
7.0,0.15821710750632195,0.14178920857760835,0.5206906108232678,0.24043936432859536,0.010788493035284598,0.2265385424330429,104.9924414110811,2072.2792635252167
8.0,0.10040417335801598,0.43889799843667937,0.2764963237465858,0.25682310816191345,0.013200944951538207,0.39399505637700305,30.4352050098481,1847.2783120960107
9.0,0.13230935445283348,0.273804119479202,0.4681663665773955,0.2729479470131868,0.024816514575596187,0.30656180205170414,14.884119441296578,1831.7272265274592
10.0,0.10571137110132091,0.3050145391557456,0.33001339428103577,0.30836759857354235,0.024756433097079252,0.2983784081455873,90.60801095269856,2063.798517824911
11.0,0.17599065249987786,0.42546272206227687,0.21795713106945466,0.126436464207216,0.025571460957942556,0.35128443252868186,127.27232225675712,2074.398588787951
12.0,0.18884468787624048,0.17552545174902046,0.40567896660686265,0.2651588080684941,0.015230264994567557,0.2077117618018819,18.040835705578132,1852.6451025022452
13.0,0.07402805560570414,0.5660450595453107,0.2063674100148244,0.16811196388996952,0.01771577433901196,0.40234597533396776,26.918302539682248,1956.7413770125954
14.0,0.13318896825719917,0.23341640672434005,0.4539804121650175,0.24228104269899986,0.014377172183199161,0.2406327191761882,61.26784315688373,1909.8521591966173
15.0,0.16391429894977183,0.2436909658405244,0.38067001763886943,0.17568586072279824,0.011532818762041765,0.40840493181726945,7.035997417830966,1855.8419613881026
16.0,0.10852595901045707,0.424871803449189,0.4250128587073261,0.22514697150911878,0.01227310736668801,0.33743270045676244,132.04656905586364,2012.593741979706
17.0,0.12394254605148691,0.2441003517710767,0.5449668678125394,0.3019602098803993,0.019720452563955493,0.30844221512858827,13.859054689733563,1830.7021617758967
18.0,0.17906389587329252,0.3545286905143828,0.337939993152971,0.12141019451452872,0.020554338662365494,0.2962100615863818,99.93518651209382,1980.4823594359364
19.0,0.07703425977065596,0.3929027557725225,0.23405439987421467,0.3285532043237418,0.021509533074581613,0.3269627593210083,133.28192792092145,2174.252656084202
20.0,0.1075299890339125,0.32420165182696237,0.32856430492185285,0.3478187923666516,0.019420408190491317,0.31588007647440947,82.21262548914576,2011.5777323098353
21.0,0.09699874415653699,0.42474591006668083,0.33578658723125954,0.21606386355867935,0.014197979640386028,0.3945892703773163,27.169052247700712,1875.7533682874343
