id,alphaSS,betaSS,delta_flanker_deltaSS_ratio,alphaRS,betaRS,delta_target,deltaRS,tau,X^2,bic
1.0,0.16904034225299835,0.37715782786580165,0.06291646875932944,0.19813551068627178,0.9971822410086947,0.14874643112648106,0.757185491995531,0.3091730951042191,160.9233988086364,2052.5134935682036
2.0,0.3122756760180804,0.7968597875201924,0.08138274465347545,0.2915520615690783,0.9835176730400059,0.13621319926082417,0.9702825623189735,0.32667949298370663,288.2135876067232,2274.574374996994
3.0,0.17085856827613224,0.6897828494940822,0.027240103411795002,0.15667568388322362,0.9987641790441275,0.12659674167797785,0.9799690835316355,0.3305856035391276,188.67947844571628,2112.0107821588535
4.0,0.22891965943624898,0.872379777041281,0.3111963710114378,0.3016904145721668,0.9967877434232719,0.08464332934555875,1.1440619044903562,0.44561939740010015,132.65199112080285,1992.2792289962608
5.0,0.24599891324113832,0.6070525853176575,0.13360713022088372,0.14022425869903288,0.4129284163004182,0.14520585727388857,0.9658897510092066,0.18997424301199983,269.3082534421862,2326.301567317862
6.0,0.2725709241148057,0.8109765138024028,0.0899852267317866,0.20168399261835845,0.9903652035811737,0.14777708967315611,0.8961078063724552,0.30646602470875844,309.2907854276351,2206.3817709443156
7.0,0.1964592169239322,0.7279165148719827,0.0672016283732148,0.2982993260553036,0.9967805343886533,0.14966103940616082,0.9215809138428076,0.3231446313804564,456.3044736248463,2434.634217574706
8.0,0.19703062206597688,0.5878976083531755,0.07806508490118141,0.1744210103269016,0.9735198064105497,0.14460073289616662,0.5947033208232863,0.35388376445698244,53.327374498883856,1881.2134034207713
9.0,0.31768643192269563,0.6942006008127583,0.08070476838789381,0.29336363578210944,0.9898084099210854,0.14560055037435682,0.9352661225695625,0.26849002501724273,82.01100745145959,1909.897036373347
10.0,0.16850714897308877,0.6879477183809054,0.10214813550017005,0.185123800396648,0.9878839140264766,0.1449214346224846,1.1128283184208012,0.35497976191460967,381.2819821066886,2365.5154108146253
11.0,0.2845716965972922,0.6452247583558587,0.033492490586438994,0.14745402547993539,0.3389166468672168,0.1442314478838593,0.6684191051554138,0.2230122258750304,163.02136468571086,2121.1905530526287
12.0,0.22024136298201144,0.6203381656778458,0.050364740297133004,0.34540604628009874,0.9116033583836739,0.1432571786691366,0.5273647417144482,0.31631699554783715,142.46060147994808,1988.1077901123397
13.0,0.2259584193285109,0.7448121658178531,0.18441942504072034,0.1640945923477781,0.9861829863802121,0.08099042956012378,0.8365044086403063,0.36332209353993467,252.9553839969212,2193.8213803055587
14.0,0.16850629596618028,0.7167465544286491,0.04280357213795388,0.3520605372468536,0.9908388788062283,0.12684730339682315,0.9141889108701361,0.32005070024221893,116.40247903820935,1976.0297169136672
15.0,0.2594438849828744,0.48319292992596724,0.05686588577966384,0.21925514554039213,0.9669730046378524,0.14431341105143164,0.5554584145190788,0.3743935274894443,114.64880678124211,1974.4976925872381
16.0,0.14685475118682317,0.6836828914069412,0.029105591402627917,0.1778350304934706,0.9877095713760852,0.13469751789074377,0.5348892317787413,0.34495038073331946,154.32285813607487,2045.9129528956416
17.0,0.2349281347617699,0.7251255820457259,0.05537767544391725,0.34018542726977075,0.9984986168215384,0.14200314211304915,0.7459302549220808,0.32323993319915045,91.27674985151518,1919.1627787734026
18.0,0.24169012144864108,0.22345757910030062,0.05588256880564202,0.2659070609254057,0.9853826574364638,0.1360407571371332,0.5804801359645606,0.15504292069032166,156.78403662602528,2048.3741313855926
19.0,0.16448800936511992,0.7099059677557042,0.05078304588766125,0.14760582280662576,0.9739266659413451,0.05826861330263201,0.7771260021189512,0.31857147102635464,355.23600645720086,2407.2496564562066
20.0,0.1693006579781327,0.3337489524514011,0.07785445184095341,0.2366256857967981,0.9984463471235792,0.14865012532334004,0.9015033552965863,0.23516536142607375,308.5892076476006,2248.997236304014
21.0,0.2772873607614018,0.8209171424880636,0.07421443425985114,0.15864278855290156,0.9990474131373562,0.1485692496670349,1.0214591805246087,0.3946982948835167,97.3822224254023,1957.0094603008602
22.0,0.2667173148064236,0.824893672239677,0.021561169873811015,0.22417593464670352,0.9929793291350852,0.14089573627218469,0.7541782999264133,0.31933386278192116,283.02989280389284,2203.090992327758
23.0,0.17495438552994824,0.727107168382504,0.3293742505977414,0.14977100142055472,0.9910919631583607,0.13356565750334815,0.9886095739594404,0.38630351600734725,393.4834239479694,2431.0379919920424
24.0,0.16031926768631996,0.6039733232992236,0.0768543848311738,0.14174730079166825,0.9967408805452165,0.1368275495869583,1.1873360739614964,0.3595039901766747,18.285510329098866,1814.2086823668774
25.0,0.278954489835323,0.3186919540731753,0.08580425133014816,0.29174031752700375,0.9739051081564518,0.13184392886100096,0.856180073537188,0.17153955021548706,25.703440086236256,1821.6266121240149
26.0,0.23353447346216086,0.7997234391551736,0.06750745374535966,0.15823236893993844,0.9852676255500387,0.08394447662555846,0.6165549577333858,0.4375492899964387,227.58326107168313,2117.2774976861356
27.0,0.3605780490401189,0.658274742192403,0.04463094827078701,0.1591768501236494,0.9275727695417618,0.14952683001616107,0.9160156413378311,0.28164491104997696,35.02100784711001,1830.9441798848886
28.0,0.19071840678036253,0.1606751469448512,0.08352462027840851,0.23663732526784836,0.9442751979917137,0.1489953928486633,0.9335012441718732,0.19669112712119113,142.67856556999536,2034.2686603295622
29.0,0.17508649198818638,0.7078763009801147,0.013813508823437737,0.16154686061358373,0.991178599348549,0.09719737642890997,0.7815308945103624,0.4061881844125962,30.788642362372556,1826.711814400151
30.0,0.1548917210297293,0.6689128788870592,0.10843782508278177,0.35054484179282003,0.9925520076039002,0.14283115345490444,1.0925394761147855,0.3331445461219492,126.67708972695675,1986.304327602415
31.0,0.23470243602903712,0.6267784661379818,0.019401827239187652,0.24822836378085322,0.8355049864777787,0.09864592750761154,0.6440437509108384,0.4257728897245069,10.589406215486049,1806.5125782532648
32.0,0.29498035730028016,0.7565983808427922,0.1676391209959734,0.174940259664551,0.9451210136205013,0.1125399689925372,0.578478618382483,0.30487419571564583,165.89324865070515,2088.998085248839
33.0,0.25946522615022244,0.4339715059418269,0.08748964289434463,0.20790517554361287,0.7731010769992857,0.14479355966086943,1.1139596938101004,0.21906179194527836,111.86764884479597,1971.494886720254
34.0,0.24152737805747146,0.6128403241447723,0.1751937968116667,0.14142153630141713,0.42160663958735634,0.14498396629005184,0.6364606298070592,0.2036686516689401,195.69617918028277,2308.0432228598984
35.0,0.1439192196584313,0.822457154937018,0.11681408086430867,0.16126140982164577,0.6670704358692965,0.14980755389610112,1.1524701147316936,0.34763069892529574,219.76391268624315,2177.933101053162
36.0,0.20976687456779458,0.90156739929412,0.3170593842509224,0.22701775615344427,0.9515749198794505,0.09944110421098126,1.1336603828676817,0.4344031289922058,106.531460531786,1934.4174894536732
37.0,0.2757468366382739,0.8845682822929198,0.14445554651094117,0.22394856721470088,0.9975519126210083,0.140379988388311,1.015044799962601,0.3771089779823814,60.669062522403486,1856.5922345601823
38.0,0.2686898357200305,0.8134529851653968,0.16923136527108013,0.18808897953858938,0.9980250804901706,0.14755773882134737,0.662417871249158,0.3413875657239178,207.81403941438666,2117.1652938844577
39.0,0.2791924344076713,0.8133238360712893,0.23384286861389586,0.19423725745975368,0.9746232116779585,0.1457934592287216,0.7428555935559803,0.3501895124768898,173.74566319255962,2050.907593663518
40.0,0.2062102432551636,0.5275658725366285,0.09015269460091258,0.3246301365809413,0.9910682212331772,0.14457383072006952,0.6118750288563769,0.3148279554095197,177.6689325581309,2054.830863029089
41.0,0.14014249217396474,0.6091239079575003,0.1118517073677297,0.2822723371093339,0.9995625694677733,0.1472450105168578,0.9084921779260712,0.37484265185248555,107.10605422285113,1966.954940028847
