id,alphaSS,betaSS,etaSS,alphaRS,betaRS,etaS1,etaS2,eta_r,tau,X^2,bic
1.0,0.1404524746461076,0.37605290590698304,0.39170151799479724,0.17111191736673206,0.9988821126455781,0.14356982086891204,0.12509437931129158,0.4734075888141763,0.4273705794159901,258.11931863048596,2155.2308743079147
2.0,0.14696277898824522,0.35911197320009136,0.5031323336232192,0.2233456652793029,0.9983662830153127,0.1382232716395878,0.2400307041710358,0.4826126447366472,0.39024524786573356,371.5009860573479,2363.3832343654803
3.0,0.14457195251775457,0.3780487085677343,0.5166666077553506,0.21290355707143627,0.9918209166103075,0.09044996515341275,0.19213916394985525,0.4387983394733617,0.3797147035887557,283.9226352533808,2212.77539988438
4.0,0.2824521154698085,0.8692136597415706,0.25264799299692653,0.18375817711051032,0.9971719911042781,0.10522524335999589,0.23673362146039137,0.449372612232794,0.4490522957968801,208.03881326872457,2073.187512062045
5.0,0.1402113716390722,0.5456681296805403,0.5105872297449214,0.14067845028305961,0.5205866534786813,0.14794853752250542,0.14876576070765332,0.4106041443115163,0.32041996851531773,251.10509146347124,2313.6198662570087
6.0,0.15558563521066737,0.38499040210199875,0.5494283441923484,0.20612619556822245,0.9979207115005118,0.12266235879887621,0.22461345598670834,0.4780938127607836,0.34565976486405325,336.71618451847286,2239.3286309530154
7.0,0.1402518422751184,0.375373316146395,0.462930211206938,0.16905984818415437,0.9899001482514195,0.1120411921076631,0.10809932289860208,0.4461898296508572,0.3520308210069258,460.45689747174083,2444.3081023394625
8.0,0.14827470711645835,0.37713372351275115,0.3423327825635428,0.2699240000339524,0.999278643333753,0.1064434734018401,0.10214087492500847,0.48459561678839136,0.4044598629216341,153.17222361430444,1986.5797134540537
9.0,0.14593695316538485,0.3803121421055075,0.40623887466341907,0.274377794685691,0.9973908917134288,0.11808605052123945,0.08834928656263133,0.4287222800944021,0.3636151626459496,167.92535058494454,2001.332840424694
10.0,0.14048639611769914,0.37415944146189173,0.3946303376693901,0.15210020533495933,0.9978724863922231,0.13090076869537504,0.175978133947325,0.4312558969674926,0.3697260352958751,463.69976305025665,2453.454652676056
11.0,0.2715229414777292,0.47410825955005487,0.3276164251091006,0.2513257231899961,0.997985141823125,0.11659489515596606,0.16500307675099735,0.4686876342805206,0.40839319643147487,458.19567501595617,2421.8863243007354
12.0,0.16512688165254946,0.4137277136204579,0.2536616850920732,0.26756427359489066,0.9787946330811654,0.1444624553016703,0.122903113754634,0.4025860652061029,0.35937349785736583,260.33389827067356,2111.502547820927
13.0,0.14038873130602478,0.5100409548802342,0.5267431502145272,0.2786261432679214,0.998496471357332,0.10958874532473345,0.10686274066918197,0.4632699044036757,0.422614481035247,285.60161492879837,2231.9890721552974
