id,alphaSS,betaSS,deltaSS,alphaRS,betaRS,delta_target,delta_flanker,deltaRS,tau,X^2,bic
1.0,0.23357761517439907,0.12023196657180613,0.5326276233882934,0.2109050915857742,0.9718758887415657,0.1472629686531256,0.05998243849787441,1.022995189999226,0.1881878783995562,147.2293014523828,2044.3408571298116
2.0,0.232925043600183,0.6894326538756392,0.46067417657682724,0.22215753225466012,0.9898237850491173,0.14884302624652107,0.0577839751092705,0.9104406479237847,0.3312976017916798,284.2015339918947,2276.0837823000275
3.0,0.15438779667962146,0.2954277826226334,0.5097602967246266,0.15892022276456333,0.9807408900476481,0.14487297402042926,0.053445388798889076,0.6672707222866889,0.2620025651804692,219.4843726240826,2148.337137255082
4.0,0.3074701682454056,0.7978254029869725,0.548907173895608,0.14303839426673465,0.994137641403596,0.13347046627163045,0.1145684309688213,0.7591203878736875,0.4166345429831515,131.91594705011178,1997.064645843432
5.0,0.2450626097862602,0.4974434575529374,0.5224413340898239,0.14012469189105342,0.4126101254249395,0.14495438436670072,0.052669509260869565,0.6655269025316687,0.18995875031791032,253.371363640792,2315.88613843433
6.0,0.19469629129087174,0.5093463191352736,0.5469054233962444,0.18252468486330092,0.9982262751529664,0.14465083471260115,0.11058210517143298,1.043444560829517,0.2657275662799057,288.1535673427674,2190.7660137773096
7.0,0.14617140574030152,0.662323856785517,0.5416015138096941,0.14027617538791254,0.4733849449182158,0.13906959736237912,0.0628007022072333,1.0922024509701365,0.24253907084315426,284.0420327162051,2267.893237583927
8.0,0.20975947051094085,0.4644591763518798,0.4724203288334051,0.1834170048990735,0.9795892701269093,0.14436134156284666,0.0549663057043602,0.6063194195929945,0.30948482830088037,58.54111278058866,1891.948602620338
9.0,0.14841104844646774,0.25159878659276164,0.5149767590055032,0.23409087199345988,0.9877098840881582,0.1400780531542038,0.054768292207753824,0.7064409233172642,0.2761912592814135,62.475228456794696,1895.8827182965445
10.0,0.15205687539522528,0.20375031404009597,0.5425668147497841,0.1521968844315008,0.9821727793964987,0.14572911283790368,0.07243872325226706,0.5094072593650814,0.27034143233444796,385.3647625072774,2375.119652133076
11.0,0.14503887422834227,0.3473445185280119,0.2532693654392117,0.1416386845938646,0.21866737161065586,0.14907791195368464,0.05026243630601726,0.6350663205027841,0.15732711756035353,174.26042037818974,2137.9510696629695
12.0,0.191691482514774,0.5485345248369623,0.31449883762375025,0.22328956024013646,0.9993978173463072,0.1485862746659804,0.10240464632866098,0.747555264350191,0.3054910954956646,138.69414023771526,1989.862789787969
13.0,0.17697240625535843,0.6466898044464168,0.44784090792838616,0.20561686134901727,0.9958608886238307,0.06176704543693412,0.060084815753283255,0.8409256529630631,0.3625369220012503,247.77205656246275,2194.159513788962
14.0,0.3135653136877291,0.726536405627173,0.4885548544157765,0.17118616051416333,0.9974023978413092,0.14373653142805282,0.07006382391348219,1.0072403387063087,0.2701835305207677,118.44454971975017,1983.5932485130704
15.0,0.29014056699104473,0.47285851702831727,0.4870824704894723,0.15230892668380047,0.9863060251875572,0.14550074894707496,0.05282528598623373,0.8361552088234041,0.3944226858825977,102.95726491307065,1968.3276116369289
16.0,0.14478495074522424,0.6131263879543404,0.4442365213750611,0.25478187174699385,0.9971216881524785,0.14927191193721773,0.05014611745184604,1.1701346467930636,0.3277416821220259,167.28401411973087,2064.39556979716
17.0,0.3540796878271469,0.7048377984935795,0.5462071041023469,0.1794736594955249,0.9996551555652979,0.14601951224516185,0.07219638748386417,1.0394626306556507,0.29336479870960525,67.85234170432526,1901.2598315440746
18.0,0.21478946080728392,0.7207392505742505,0.29492841214981563,0.19363131037053843,0.9988045129608997,0.14955856771818424,0.0563842754553526,0.4859059716133894,0.3963762112692843,160.04006186987013,2057.151617547299
19.0,0.17537911187730532,0.49610932705578137,0.5455706576581185,0.24255869808705244,0.979016746670413,0.06384184070082825,0.05848373643967793,0.8080657139207527,0.27878597305294994,460.4732958799342,2518.008406796802
20.0,0.29058883623966375,0.6322351327575824,0.49295900273915144,0.14323455035786348,0.9988120141119164,0.1300597436736376,0.09407140108926693,1.0741705769817753,0.2752072911908621,272.54791722990393,2218.4774068041793
21.0,0.1729609896764958,0.699214365800102,0.40986801897414993,0.2191590358261853,0.9988951595318962,0.14815476473790293,0.050289728686770285,0.9220738240973558,0.39431125726523525,96.68312581072615,1961.8318246040465
22.0,0.3439341651539029,0.790557823762794,0.537369969081165,0.17569966380053706,0.9988987276968787,0.1498739688900455,0.05029429967719398,1.017622078603397,0.3081637773796108,282.89334669737843,2208.475907139106
23.0,0.16394325504086787,0.5593918654082806,0.5398537820477924,0.18976709142044978,0.9995770570775001,0.13180567237712032,0.13218837267049308,0.6848341205567611,0.3761855437579902,401.8395350184004,2444.9155639803353
24.0,0.17934634629632995,0.5960948916678558,0.4759886671080492,0.2057160290842294,0.9980541600176217,0.14926500541945406,0.06457880781943627,0.9853250538377122,0.35874490085227717,14.569624872963834,1816.0142578286045
25.0,0.370779098666114,0.543736121021404,0.46114312388716133,0.19343052793210336,0.976783704403665,0.14767730699201453,0.09093035056090566,0.5318130943650989,0.2592656989372735,26.592529641111327,1828.0371625967523
26.0,0.18197970718469186,0.5504856970550165,0.4393986973298386,0.2609525841076715,0.9626973737500542,0.1194371495202034,0.05636282143388216,0.984791947501984,0.373356013373245,226.83394207170124,2122.0496396040153
27.0,0.22103266536653593,0.1370860389667019,0.4954126460949084,0.15908335064903623,0.9990996940724669,0.14644777654468344,0.050481816932880536,0.8229484868319242,0.21991670194786989,14.603750120771597,1816.0483830764126
28.0,0.32697650330835004,0.500016549830811,0.41028479144150853,0.2921411504454091,0.9662117845704826,0.1453792844231325,0.06940869556097377,0.7270838478607923,0.19657176166115994,141.25843509769615,2038.3699907751254
29.0,0.26909432740723616,0.7486381653695175,0.4876806770028383,0.3420921140015649,0.9936405196885452,0.06235762588279581,0.0501453692384988,0.5064223307973359,0.39614897777851976,59.816225731004636,1861.2608586866454
30.0,0.19185232053526977,0.7116998999478822,0.4319443309357828,0.17464440887985525,0.996634658580837,0.14130022072126452,0.05469598165793696,0.6422600194507041,0.3332274598462133,122.85496844493699,1988.0036672382573
31.0,0.25203071240132047,0.08931306934148536,0.4975573613761889,0.23568396351499837,0.9456409504643272,0.10107916483557608,0.0535455229582822,1.17051948541192,0.26584150808571677,7.899218953519448,1809.3438519091603
32.0,0.191901369648157,0.5502895905062637,0.4984840041280577,0.14511448389272766,0.9437404670486362,0.09472170059237978,0.05218815850125741,1.046401371383694,0.30483040612322104,164.1147298367136,2092.7410273527094
33.0,0.14965588786547646,0.4835144956512606,0.3817485667631879,0.16037333182655117,0.9886061207148209,0.11105887456120213,0.059903192883023634,0.6014794925759119,0.39541708051286045,93.42823821782156,1958.5769370111418
34.0,0.1574387975897511,0.48133434816891507,0.46103736170515397,0.14185512829607977,0.4762583075063762,0.14591224619068188,0.07378925676036507,0.6771341303245128,0.2806246534733523,188.50090186975956,2306.369406467237
35.0,0.22146727171947417,0.6015422420855869,0.4907663860522965,0.1793450963585761,0.9951095509418778,0.08771666131895499,0.05205614790760914,1.1356448830716344,0.3363848948322989,220.6103522249284,2184.3010015097084
36.0,0.15764447212901742,0.8707591965271108,0.4985828975263931,0.23969334612458415,0.9529058339800487,0.0943997108760907,0.12275074345724439,0.9987913933109382,0.43560182657038077,102.0018869521043,1935.409376791854
37.0,0.14379300392092226,0.5987652942520704,0.5492128677375849,0.14250611270229596,0.9998251857069627,0.1497179399472362,0.05106445732062785,0.9311777636901261,0.3470364085931159,61.08211613021916,1862.52674908586
