id,alpha,beta,p,sd_0,sd_r,tau,X^2,bic
1.0,0.12195742405667016,0.25221331678810466,0.45899236713130476,0.3842836548927435,0.014800097802987688,0.22712981544590669,43.80324737098849,1990.8174114717378
2.0,0.07246678021246405,0.38376197423897423,0.5480132574349232,0.4832225699425863,0.022085162430652765,0.29708742570179913,79.32187713723314,2018.9650709372343
3.0,0.07163333545478041,0.37451889220569157,0.3893671829511701,0.3831850083928412,0.025792598666484944,0.2633362028208873,68.31596659196767,2095.129893850963
4.0,0.07870136934008318,0.2963179637843525,0.5338886848623708,0.472537975794573,0.018502874968038662,0.28664976216604177,68.0419605177932,2112.0580119327815
5.0,0.08628024267491141,0.40841293155440633,0.5475922777897807,0.3548477717657632,0.011603576440955908,0.34552849222367776,63.60846924162696,1902.9934748788169
6.0,0.07598939256693604,0.39850274510459854,0.4443220215124027,0.46076688884220696,0.01969211732817927,0.3218219946786156,87.30751828368888,2013.415548111217
7.0,0.07476534333043544,0.3897206179664894,0.4066568662821607,0.4449537829585115,0.01869372128476613,0.27598887416836915,74.85240927479148,2016.6207113382823
8.0,0.08013177151659795,0.36054695957422334,0.3523911260976802,0.41334625111209355,0.012099194196415041,0.2297156698195577,62.270645223792734,2108.9255865157133
9.0,0.05720140101788363,0.49781980174387785,0.26121107757956885,0.14951807819210772,0.025814468622680102,0.24786361161705145,69.22995712959364,2140.9860338595777
10.0,0.08178407976762306,0.40360139852909305,0.5225515504330842,0.4391932954628007,0.021227112899818344,0.31056478185060765,90.51719864968483,1969.3243911568425
11.0,0.06459862707290859,0.3517578249581331,0.533233864256085,0.45105185344597065,0.021390900807646163,0.28479547150365303,54.55222834630265,2010.6956712977396
12.0,0.07997921456494839,0.3394543676159258,0.4343187821046827,0.4304506616540218,0.016056393560842375,0.2556323473326847,54.327481723250386,2046.907770063797
13.0,0.09011942894615714,0.30253834046937217,0.5181299560282229,0.319412442936464,0.015049200020895203,0.3019694827171221,119.07449127636369,2033.6799587082664
14.0,0.08091927923113232,0.3900178620579205,0.5394712604609496,0.4015187391096747,0.013667875451109271,0.3228777009364262,68.01248368319152,1948.3420373411723
15.0,0.1425647767123064,0.244652698443519,0.5437199500124389,0.3509933244685527,0.016329130379928777,0.19705906091378902,14.786376773777246,1823.9783813421661
16.0,0.08128599165815073,0.39520514045302946,0.5447543178287421,0.41357512759445525,0.017441019080453028,0.30862580052489613,68.0474840521548,1939.6922208047074
17.0,0.0857619369166836,0.3766694229629979,0.46181793906098617,0.4487218744754219,0.022813237609415116,0.32441705092517986,64.32368573296782,1986.4234300432463
18.0,0.10972197835370778,0.27124877719877993,0.47574055626235867,0.4612967884027033,0.022799370625274616,0.21841812345216982,57.30868972163089,2054.2203575535063
19.0,0.10736686103639112,0.25084564332850307,0.5394068065160186,0.4116504975570965,0.020172854861650644,0.24385978202066408,35.062494285453994,1980.7153436893173
20.0,0.0840894626434193,0.31977799667352974,0.4776565753915829,0.4490296090178142,0.018314781933647637,0.26655309545866157,48.707168813097645,2017.0762107415014
21.0,0.07907617302510367,0.26317303739661957,0.5475166046047251,0.47662619181447097,0.013640790770816414,0.26183899470930666,83.54369000398667,2084.3925427252266
22.0,0.07995973916137689,0.31328090454582824,0.49774525531896735,0.4699312564418394,0.019317706357319532,0.30063904989571644,36.83568161889536,1988.0153425210087
