id,alphaSS,betaSS,delta_flanker_deltaSS_ratio,alphaRS,betaRS,delta_target,deltaRS,tau,X^2,bic
1.0,0.24504347574672464,0.7006920107090686,0.1587593116958428,0.2193570385378211,0.9988762087326898,0.14921421255833794,0.5701651396231743,0.2571660330310948,349.3263732111089,2307.383459147583
2.0,0.2638758026274261,0.7784377567690192,0.0414731659917682,0.26413505254600933,0.9900714086677765,0.14674870980162108,0.6407684446379901,0.25744029462593665,557.0266670107824,2507.7127826465085
3.0,0.2018187778664363,0.7455398110980348,0.02537621004753504,0.17997523474702445,0.9975423396566211,0.13502789287437225,0.9217504535577195,0.219675926554596,636.4034986498049,2674.260347744524
4.0,0.215895559564992,0.896452699715985,0.3237718902958433,0.14033404447663944,0.523659330255531,0.1491952504022036,0.7848665176847683,0.19872602206412626,375.3758803236175,2430.4348535743306
5.0,0.1824988765395065,0.655660909789685,0.026165515082499646,0.2710029235289205,0.9923019218266282,0.14732624865944394,0.7556716770844539,0.2995012906001951,220.9927418282001,2071.4206693011142
6.0,0.21372756109019364,0.757359450622692,0.015575974787161828,0.19802749991484492,0.9891791899070981,0.141167025933985,0.5308229398884707,0.28886392417579504,312.35313218259563,2249.504083845848
7.0,0.23495143875989996,0.7596221037695613,0.03757713129580287,0.17763983705111136,0.9912925967574173,0.14747711293095792,1.0284173952665219,0.23418319335175902,359.7702447324405,2312.5814686316558
8.0,0.20899711392608974,0.7809726762603132,0.08594873982694623,0.16935457121314212,0.9847488412419396,0.1433909575212377,0.7923341138612308,0.22078041458317527,717.9729291040769,2775.6707922317223
9.0,0.32610167534482304,0.8942470822976204,0.0840958868477033,0.18689856961326054,0.9892720058468086,0.12544576975524538,0.4929703165297605,0.22603964813803218,623.6235792764145,2706.4225778421232
10.0,0.2253799770163663,0.7210578005791369,0.05384614074756355,0.24833792826330248,0.9960979256553775,0.14815407319366425,0.804573687134824,0.2677870322987141,355.83655076606635,2245.6866651089485
11.0,0.21238093989237844,0.7212005584525405,0.026995632124583058,0.35685128873408345,0.9979283568990055,0.14532173128420464,0.8386030500442226,0.24506721661256467,650.9647176445973,2618.1510824317593
12.0,0.1990192624495642,0.7396905239168059,0.11895028123018236,0.23324764496844402,0.998273340627029,0.14892169275120754,0.9476989101018871,0.25450781437817904,793.4153291756851,2797.0385393519564
13.0,0.1483309473870954,0.6587445760495726,0.045220728548581224,0.3365973411599614,0.9952821658089801,0.14371380971303646,0.7272836489251402,0.2821099766784073,291.61097530042383,2217.2593645680513
14.0,0.18508859221954063,0.6857762272635367,0.030763768224276344,0.2907474853959702,0.9934459281004794,0.14166524419058021,0.9274397731297234,0.2921730936932097,312.14392257446036,2203.5163980681655
15.0,0.2247675994097093,0.7693488985441898,0.0860821353147111,0.1663978942499714,0.997973122087551,0.14985852847297318,1.0802190214395166,0.2789785576247744,64.49500789358635,1884.7299342976996
16.0,0.1696699443781327,0.6296984417155096,0.06173133650257295,0.19759888538161755,0.9975734387825601,0.14144738205025437,0.6785003077942452,0.2661908622251117,287.0305798634199,2169.718238451697
17.0,0.20736958857103951,0.717763171357341,0.04444313326472582,0.1782293980464586,0.9856932613887075,0.14524348296544137,0.45598865532646304,0.30590623159690206,513.1472597019155,2446.2899258479183
18.0,0.1892897312131029,0.6373912408103896,0.16320748190462891,0.18056643451219068,0.9982706456976878,0.14745203154969885,0.6103382041216614,0.22392818451359828,753.6661878965258,2761.620777564126
19.0,0.18958737014403146,0.6390373365970371,0.2264212652813139,0.2892897679153767,0.9861032855429717,0.14016531126647253,0.6645112426864839,0.22820730562514646,537.8347123202022,2494.5304835597894
20.0,0.2524668688188197,0.8224122313546516,0.14277390573039878,0.33842919851444975,0.9960248171183009,0.14985562055480722,0.7149471203366404,0.26680862692528395,418.5343263686394,2397.9462901327674
21.0,0.20741928604800922,0.714832608065088,0.07353410535434407,0.329814682627192,0.9952728998514097,0.14926731172759147,0.8491662221280333,0.24183799207455572,977.422911145051,2989.3146857020156
22.0,0.2929851652035008,0.7669638929139642,0.16649476450626072,0.22196122355835324,0.9404289755641703,0.14739858863532868,0.7738683671917271,0.23701701617211673,525.5193170378109,2487.741899775649
23.0,0.17757996470579182,0.8622039732296496,0.3486716425730384,0.14031051283128165,0.5584819225137693,0.14813807476411844,0.7190586748758011,0.2213597804580783,393.1966358252628,2402.189844064575
24.0,0.23928474285098522,0.8486095289246491,0.13574000101964162,0.228077669145052,0.9838418660341471,0.14944464331583798,0.6732812691178353,0.29595468523371266,611.348117826238,2620.8407536797195
25.0,0.18068903070337172,0.6614484967059265,0.061161009151057766,0.2413397081202243,0.9938616748278217,0.1484191468002493,0.8299675765498645,0.2679429539220921,459.03065600325937,2406.9905153911427
26.0,0.219222185283781,0.8661190237124137,0.18846737889397663,0.1401197681657382,0.4508341058918901,0.13199412824107504,0.6936721632078675,0.15511305427405334,245.82993881755792,2324.652671362725
27.0,0.21233350070615795,0.8557955486305341,0.32817511624679907,0.1400560802954962,0.4674192567137893,0.14974089187834036,1.1542446500274306,0.1869752549366644,365.720561300784,2375.860821613501
28.0,0.30042733150123196,0.8274261631361559,0.039735813764586736,0.14637849562378794,0.9868188882310001,0.14275679343703446,0.4398952533390777,0.26764552270552294,383.40412624367224,2334.8569816821305
29.0,0.1785545428103008,0.7202519149591997,0.03300737872221099,0.23878707377047204,0.9961240304422444,0.14027470102505302,0.5651596217604236,0.2783284952292315,607.1614190743169,2557.5776454887564
30.0,0.3452055185152171,0.9573861825114461,0.08112124818381589,0.21592236187264802,0.9997642736615523,0.1498118949158428,0.4064079288294942,0.31845782261846306,351.93847585729446,2284.7053579563667
31.0,0.2693398791123292,0.8244139983688644,0.05960671618064567,0.32024627776701003,0.9910594955748828,0.13701960978208744,0.7038507618729444,0.2413873906495634,655.6217610690688,2689.7207509959526
32.0,0.2182749206469762,0.8552195829806134,0.157994596241247,0.14061158086362402,0.46120554978743444,0.14208735015058893,0.9072689185476115,0.2220850786581722,167.25289172848312,2160.2744920847
33.0,0.3119199640603968,0.8125461468215579,0.06309878531839119,0.19601388376192924,0.9989397063259126,0.14883927925270024,0.712751573970239,0.3031921954979143,235.78271813664838,2152.0730130968645
34.0,0.25912735933323794,0.7367423684818036,0.09114790856261779,0.31284035842248215,0.9991118943811099,0.14347789075857442,1.027647298469054,0.2737338848158989,409.1815266487542,2397.579464668339
