id,alphaSS,betaSS,etaSS,alphaRS,betaRS,etaS1,etaS2,eta_r,tau,X^2,bic
1.0,0.14140488541249593,0.32573224874981116,0.47705718356833976,0.1402065052831426,0.7931252946382669,0.14717760465391627,0.24215180157770344,0.5405456913423992,0.3073549778325767,328.3310913332491,2291.9096381875847
2.0,0.14332215862413522,0.57410010120764,0.2548235552359198,0.14050438582925884,0.7702337310714636,0.1253353827272985,0.17345836764619993,0.5042217165577146,0.24426129987252473,414.06230299374886,2370.269879547336
3.0,0.3332447666230606,0.9969386917229822,0.265955913052197,0.140946652597023,0.6705362775802973,0.14991090443786845,0.20152576495176855,0.41420049005519993,0.21644835180971939,384.5001618593231,2427.878471871905
4.0,0.1415117347969454,0.6885656953880465,0.39361537406492864,0.1401089659923383,0.6751616852523087,0.14933268853891718,0.18657994454758536,0.43564061913581315,0.23607191663148558,335.18731237591703,2395.7677465444926
5.0,0.1841599842838161,0.8437293673433163,0.3022365832489931,0.19913681161511504,0.9455607314994919,0.05945953528683211,0.16811822915588087,0.40187454063883105,0.36624522524876446,349.49927641417287,2205.4486648049487
6.0,0.1738346281721678,0.8217207655619881,0.33264410681882267,0.3144993524919487,0.9666083705170374,0.05108435584987165,0.2022599097983776,0.4083088655266783,0.3495437460981032,426.43768679535424,2369.110099376469
7.0,0.14068866855746015,0.38795072059929764,0.4806462888207429,0.20171874217433214,0.9913137909122862,0.07644311122414263,0.09590281407598525,0.40955245282039543,0.2883422433428942,400.84159527043715,2359.174280087514
8.0,0.25578679251940634,0.9071809459666951,0.2527186414300487,0.14065182530656717,0.6625280790558139,0.14884439757511458,0.08424924034960468,0.5313942705074948,0.1829915235827566,319.6627727317785,2382.8820967772854
9.0,0.1665416858848753,0.8553509432339745,0.29156179481021194,0.18400178504062858,0.992632481678002,0.05486271375677519,0.05412759059890643,0.49531892196646415,0.25622829269735925,687.2807498284649,2775.601209312036
10.0,0.15716877511305188,0.818938817650747,0.2576577036984119,0.18868790248568276,0.9328019787498439,0.11543678753049184,0.24063786084462865,0.42536788538925385,0.3205410965913525,557.6329883037532,2453.0045635644965
11.0,0.1430606313093184,0.6817611530999682,0.40403112083495024,0.1402867277487984,0.6808075750929213,0.14869199883706088,0.12982870708902883,0.7343442015180724,0.20981073202066108,417.3296115310081,2390.0374372360316
12.0,0.15577290913992414,0.9015198654319512,0.3105970595924012,0.1410900409709821,0.6703542056263173,0.13781583672315545,0.22550172122818385,0.42413972645168485,0.2192170042753884,400.79215658171785,2409.9368276758505
13.0,0.25032348310059555,0.8867207633009955,0.26292032058841885,0.20165236315898266,0.9472774157128172,0.06151271703526641,0.18612871675586634,0.40005806974802033,0.33181540338870846,403.3649809799459,2334.534831165435
14.0,0.14027018104589528,0.34298401768560693,0.4292641355688106,0.24297727513706702,0.9998991912476495,0.11247855608107621,0.09594862429551584,0.4785779625071907,0.32914818339386576,399.7920314945606,2296.6859679061276
