id,alpha,beta,eta,eta_r,shape,characteristic_time,peak_amplitude,tau,X^2,bic
1.0,0.12463754208597695,0.22650837349387398,-0.07247387006029471,4.012966502061448,3.5133490410312813,0.7743661277702385,0.02929456824089685,0.23016863890084632,60.97069677132174,1963.2160221509007
2.0,0.1005972809516513,0.3688046941128764,0.15687046995078213,0.34770608206923237,3.3872428674695243,0.7996967097681525,0.1626480990986845,0.2671633569708123,40.945091827539486,2002.5584865867436
3.0,0.294215420491258,0.7993815130156273,-0.028059529903255664,3.923758468895927,1.7970873405414451,0.9130795981565536,0.10515366455110679,0.2819261800615108,92.83166445933287,1934.116882947133
4.0,0.147081125629711,0.27993723207201693,0.14209678404094395,-0.6129564441044577,4.338331449399426,0.7746086374096122,0.15098712709630013,0.24437761108578682,23.906737368615428,1998.7146129474925
5.0,0.12341115294638219,0.3618013970161625,0.2269513984360212,-0.22065883633851646,2.9202305236609787,0.28722365047700343,0.0966138416307802,0.3301132133601178,65.34278412771016,2056.8071450000402
6.0,0.10721519312879027,0.17288797411579493,-0.19848162081213083,-4.919353042904014,1.8036486474645193,0.9327962009896023,0.06671733552221581,0.24473283258264217,31.34456472487408,1880.9709839196848
7.0,0.10455932959201246,0.2929507462788443,-0.05854902665728845,4.8743422843725535,4.4983573038564515,0.7998561075903154,0.37806628896816263,0.2347661952460916,24.482277930246482,1874.1806329419712
8.0,0.07688474597580425,0.1759701941350999,-0.0844824259221606,4.228640926661487,4.1601363914532925,0.804368166697836,0.21831459640547812,0.2683755985408689,40.26423979546091,1927.3271380798155
9.0,0.35643581216274334,0.7941333055928654,-0.05155328905705736,1.0309222742245816,3.326930964742614,0.4756123875062222,0.03408210975237591,0.2585135837514888,75.18128699495956,1951.4553897693393
10.0,0.10776475633186176,0.2891536285809547,0.040249989107789874,-3.7846488607569713,2.272629434758649,0.47716087451405803,0.15422256440572357,0.28411299804323265,58.01281628147001,2016.4978681033622
11.0,0.17700275787857636,0.48680521046575054,0.45780102041833404,3.380326000418703,2.6835675439686137,0.843794448010666,0.17763596430014128,0.282744715229853,52.75720302039289,2094.1005300179263
12.0,0.15855780563586802,0.2541418104355206,0.15675170673075312,-0.9153892828159393,3.3627568022074623,0.1607652239442514,0.024031038770263413,0.2660695245807057,43.36684632348386,1982.7385645911925
13.0,0.12291503502220004,0.3987305337206194,0.26465130569699413,2.2604258428534294,3.099974878682586,0.3019114794750309,0.05353043532066737,0.28072158053620383,31.794466653943125,2009.3773836497928
14.0,0.11571721071013671,0.4884584084259031,0.2528162328879573,0.8043601034050396,2.1261685962061914,0.9503721143706356,0.14935672101452147,0.25965873816252405,44.596739339660445,2075.8304058647823
15.0,0.09649037600274851,0.3568301045928382,0.14375690577941702,0.9582197046892549,1.8867586133427672,0.4992349090669863,0.24505536939296488,0.27055150139020984,32.75450178212559,2053.259496032829
16.0,0.08848412751250859,0.30912004358010087,0.07060824687043143,-3.2164305289037824,2.5239122310986826,0.434592995098,0.11401905783643902,0.29805530480342607,64.62839275375109,2023.2700347053494
