id,alpha,beta,p,sd_0_sd_r_ratio,tau,X^2,bic
1.0,0.1124720868252562,0.28621619476722104,0.47853191554783553,15.943384754155694,0.25989612839193205,75.20701943745374,1960.8879620634461
2.0,0.10099633422520815,0.21961567767031143,0.5493855941400543,15.644295194540703,0.23027021065542033,97.84550782592117,2042.894519831539
3.0,0.10107957286068087,0.425285286205139,0.5485328451595392,19.450510307747667,0.2905221957107687,31.6435910376169,1856.3644267718303
4.0,0.08410810504957723,0.39007892107665176,0.3019910429779562,19.43119732883371,0.2903458700141706,53.21861180090702,2011.4621046261968
5.0,0.08087554217049515,0.3969927438985259,0.33736929818648675,17.391624573966205,0.3169917764041429,75.75968445706219,2050.6596625758057
6.0,0.10022031601248717,0.4181343321043119,0.5441908980915886,22.471713110224243,0.3047276656208708,81.4769749106923,1914.5390113519163
7.0,0.11653091808146913,0.2921404630334659,0.5361236163865496,12.49126473602982,0.23475870029044982,45.4217995097184,1878.5557717678564
8.0,0.08531367429738812,0.2976207508835115,0.5436521190246407,17.19350113485244,0.28975280381027013,67.09432178805324,1937.5928373188208
9.0,0.11057456601628965,0.3097139043453791,0.5344637750101531,17.35299728779365,0.2627172633393006,56.846993480703304,1916.5567135014962
10.0,0.0722316063016722,0.4454229228327587,0.4779649478339595,29.228769170270695,0.3113968288269433,79.4846130787132,2021.4052821470186
11.0,0.09397613349446932,0.3146682764213156,0.3600158316949658,22.512661539545153,0.23852885696993675,67.82933397974547,2092.6082782236917
12.0,0.11123976332343122,0.30606111426636945,0.3420297916843946,17.540694900433017,0.2680930265258655,60.85661034605705,1983.663945860179
13.0,0.08590940320692798,0.37460171878499166,0.3923168245789529,20.720631461681254,0.2679897629299669,47.954609889881574,2008.9731441321446
14.0,0.07545332425192448,0.2875889364106988,0.4494262086009718,22.798080334202634,0.2389316533401131,45.59986325757794,2060.269147029113
15.0,0.07925262505070457,0.26667761536995643,0.4718195787673843,23.57769596436161,0.24993609817567913,51.88912870651042,2055.8297402036264
16.0,0.0804881299093817,0.27404436372894225,0.5482299277261363,24.422459097891583,0.2946875025576927,85.47291890105221,2027.550178099064
