id,alphaSS,betaSS,deltaSS,alphaRS,betaRS,delta_target,delta_flanker,deltaRS,tau,X^2,bic
101.0,0.19599639620159343,0.6008392382714725,0.5336009623456505,0.17963682282065802,0.9988845285933511,0.14999615002709443,0.05029135362672592,0.7629751020997351,0.22389479985563765,241.13942078048575,2156.1982678751424
102.0,0.3043208675358489,0.832206314823023,0.25044989578088833,0.1538492605053095,0.9192790502867272,0.099431970842467,0.052609886217894614,0.948359369957233,0.3690941385201106,37.17828513377385,1875.0734795263272
103.0,0.35154677599910517,0.866561989148579,0.48552025014137273,0.14008134574324949,0.5142437179567632,0.14505893957046528,0.11188182600546243,0.9125072785113684,0.15418070552855972,292.75771247492605,2266.1330608358944
104.0,0.16604816229444047,0.6917084022133463,0.3654038088510362,0.3142205011989884,0.9992001563108888,0.13358473675027147,0.060111835747318584,0.8860880426992099,0.3024812256731605,57.27913191372629,1888.9699665887251
105.0,0.167867539598031,0.6263012834181398,0.530563921144722,0.14181614614616733,0.9992142843838966,0.14932155077983073,0.05014447513062445,0.5905138677388969,0.29067454497244777,56.51305006076787,1894.4082444533212
106.0,0.1869504587933706,0.5870664879166138,0.44887100987081546,0.1534157761750564,0.9569520478004505,0.12149709119703271,0.08837111357985095,0.939367259448385,0.25566896993509974,117.47075381139987,2015.0096105470977
107.0,0.24338760288654138,0.7326626902547002,0.5493220109535478,0.14168367539082816,0.9997638149441683,0.1474739833602734,0.05046417353131205,0.8598700449918799,0.267771014310065,192.03496747303828,2107.2617977595755
108.0,0.28887470179731334,0.4593489939322183,0.538189142835411,0.14202526106375066,0.9805954878863168,0.09850425068107158,0.1605863941389928,0.806720343088972,0.15084787176693154,203.39539966692718,2203.378466995518
109.0,0.14298137247261195,0.3331940289409551,0.2531406036484217,0.15659375609285844,0.9708978664030355,0.14649927976440097,0.10936677935013667,0.9323997566393712,0.28393580888192627,126.77209244355073,2051.545045811631
110.0,0.16544669918024715,0.840935638726637,0.4004592473309447,0.16651173618394588,0.9970494816495139,0.11017768275682169,0.10313616772559983,0.599019954347926,0.27938462539053793,364.5982649432638,2325.2741925541154
