id,alphaSS,betaSS,delta_flanker_deltaSS_ratio,alphaRS,betaRS,delta_target,deltaRS,tau,X^2,bic
101.0,0.22573022194941367,0.8559658389145257,0.1922150479410768,0.1407250210993542,0.4538331935184792,0.12964710311699723,0.6734481207933798,0.19259452107269698,287.80203477270527,2485.477099663124
102.0,0.19829407549760003,0.7446840154182999,0.02297592440656821,0.18142760699261812,0.9867021034291595,0.145742567440226,0.5802782180318232,0.24895458508243984,791.1138598502741,2866.690850851553
103.0,0.16913116414022208,0.9002468065479903,0.3109257995524429,0.14039256143560458,0.5266485972214676,0.14387670147607054,1.0709796836848016,0.15387597285419058,670.4112349027157,2895.5163727771164
104.0,0.2363917368015422,0.7943982179894409,0.061691278398483596,0.1429667732775845,0.9823924115785334,0.12033017753665254,1.1314539477355803,0.21011760831890175,1226.8802291676272,3401.784693534339
105.0,0.28706711752850855,0.8352279275053478,0.09252040857736238,0.3030944230112013,0.9764230616808769,0.14392548923236748,0.9041929388256369,0.2570825843637917,617.8195716384347,2662.8746878021793
106.0,0.3420901127415474,0.9317702981109827,0.3166221301442474,0.14058397705629794,0.49003813589976725,0.14568294586663627,0.6959997801326023,0.1784787265373552,542.84239607244,2728.8257260501287
107.0,0.37601548463393264,0.8181537944285775,0.32708125867796023,0.17357549545072534,0.9987357898434117,0.13443946198703718,1.0506650087521154,0.21599192523585437,562.3418960237375,2618.4802470216578
108.0,0.1483480488530266,0.5380323330805331,0.07688178475077156,0.19237814551234603,0.9956503733274862,0.1499685195913789,0.6425968720046679,0.26666703966718586,97.86596215669913,1961.5754866579125
109.0,0.17340414416996597,0.8654663065752277,0.27284417124432614,0.14044897427622832,0.5060298626227631,0.14958110328001592,0.905107031348213,0.15381086338188682,322.7384554832318,2441.827655841545
110.0,0.1569527720986934,0.8015838578380133,0.2692910543195364,0.1400834343264027,0.5038323966108414,0.14964339471748697,0.9250642303655939,0.16413631833624814,376.60949938972476,2464.380683567996
