index,PPT,Condition,Correct,RT
333,1,2,1,0.555691723
334,1,2,1,0.467802556
335,1,1,1,0.451202194
336,1,2,0,0.328510948
338,1,1,1,0.509703713
342,1,2,1,0.576795405
343,1,1,1,0.458916418
344,1,2,1,0.285383598
345,1,1,1,0.303076336
350,1,1,1,0.326166777
352,1,2,0,0.324293352
356,1,1,1,0.414788519
357,1,2,1,0.31484464
358,1,2,0,0.295172653
359,1,2,1,0.454796794
360,1,1,1,0.347388231
361,1,2,1,0.302242034
362,1,2,1,0.264788895
363,1,1,1,0.312137937
364,1,2,1,0.530733319
368,1,2,0,0.515521299
369,1,1,1,0.444130083
372,1,2,1,0.27650258
373,1,2,1,0.475931541
375,1,1,1,0.445531397
376,1,1,1,0.369535474
377,1,2,0,0.319944671
378,1,1,1,0.415448383
379,1,1,1,0.315780329
380,1,1,1,0.517494403
382,1,1,1,0.302330789
383,1,1,0,0.272163116
385,1,1,1,0.367101182
388,1,1,1,0.474125707
389,1,1,1,0.471944709
390,1,2,1,0.308692856
391,1,1,1,0.606990046
392,1,2,1,0.320360457
393,1,2,1,0.483375401
394,1,1,1,0.304356123
395,1,2,1,0.41042038
396,1,1,1,0.341508175
399,1,1,1,0.353710016
402,1,2,1,0.532138388
404,1,1,1,0.615720862
405,1,2,1,0.527179
407,1,1,1,0.425662441
408,1,2,1,0.476846064
410,1,1,1,0.449166961
412,1,1,1,0.294563312
413,1,2,1,0.320400055
415,1,2,1,0.342394366
416,1,2,1,0.474436351
418,1,1,1,0.341613999
419,1,2,1,0.379628688
420,1,1,1,0.48417898
421,1,2,0,0.289378281
423,1,2,1,0.586716229
424,1,1,1,0.498944833
427,1,1,1,0.348332795
431,1,2,0,0.633204683
432,1,1,1,0.509033609
433,1,1,1,0.308833158
434,1,1,0,0.325701152
435,1,2,1,0.521823285
436,1,2,1,0.272347455
437,1,1,1,0.465225914
439,1,1,1,0.330869798
440,1,1,1,0.474997901
442,1,2,1,0.451878784
443,1,1,1,0.337507689
445,1,2,1,0.253401898
446,1,1,1,0.468764529
447,1,2,1,0.601700898
448,1,1,0,0.292224603
449,1,2,1,0.548091175
450,1,1,1,0.405178682
453,1,2,1,0.433692088
454,1,1,1,0.510611751
455,1,1,1,0.36843627
457,1,1,1,0.39654379
458,1,2,1,0.318824986
459,1,1,1,0.594777623
461,1,2,0,0.281488253
463,1,1,1,0.333735578
465,1,1,1,0.473025479
466,1,2,1,0.303220393
467,1,1,1,0.46546726
468,1,2,1,0.326491418
470,1,1,1,0.328492856
472,1,2,1,0.298996311
473,1,2,1,0.508358043
474,1,1,0,0.330200717
475,1,2,1,0.631110393
476,1,1,1,0.415044204
478,1,1,1,0.27520436
481,1,1,1,0.33676658
482,1,1,1,0.44443629
485,1,2,0,0.314059154
487,1,2,1,0.425243241
489,1,1,1,0.522054049
492,1,1,1,0.440076343
493,1,1,1,0.358848281
495,1,1,1,0.370653111
497,1,1,1,0.368162494
499,1,2,1,0.448384205
500,1,2,1,0.236346494
501,1,1,1,0.180320571
503,1,2,0,0.284099373
505,1,2,1,0.387223433
506,1,1,1,0.44499067
508,1,2,0,0.333692566
509,1,1,1,0.439228045
511,1,2,1,0.472380294
513,1,2,1,0.441716273
514,1,1,1,0.327582428
516,1,2,0,0.252030625
518,1,2,1,0.25649264
520,1,2,1,0.475150492
521,1,2,0,0.352841236
522,1,1,1,0.356929795
523,1,1,1,0.327171763
524,1,2,1,0.433334335
525,1,2,1,0.397693175
527,1,2,1,0.401528098
528,1,2,1,0.244130015
529,1,2,1,0.445279467
530,1,1,1,0.257254231
533,1,2,1,0.46931891
535,1,2,0,0.267269954
536,1,2,0,0.299375912
537,1,1,1,0.564579568
538,1,2,1,0.493333092
539,1,1,1,0.3236113
540,1,2,0,0.28533171
544,1,2,1,0.595919156
545,1,1,1,0.36551314
546,1,2,0,0.272045003
549,1,2,1,0.388279282
551,1,1,0,0.317560902
552,1,1,1,0.462841461
553,1,2,1,0.567091692
554,1,1,1,0.476038389
558,1,1,1,0.275391429
559,1,1,1,0.246142035
560,1,2,1,0.246413081
561,1,1,0,0.279221914
562,1,1,1,0.38405008
564,1,2,1,0.696425609
