PPT,Condition,Correct,RT
1,0,1,0.882292569
1,1,1,0.376509726
1,1,1,0.505873024
1,1,1,0.364763141
1,0,0,0.353065997
1,1,1,0.447054774
1,2,1,0.635266364
1,0,1,0.30583936
1,0,1,0.458880097
1,2,0,0.376536936
1,2,1,0.482397646
1,2,1,0.317591369
1,2,1,0.529451609
1,1,1,0.44690156
1,1,1,0.270654172
1,2,1,0.400077641
1,2,1,0.341272384
1,0,1,0.447081864
1,1,1,0.64703542
1,1,1,0.352987528
1,1,1,0.352982849
1,1,1,0.341225594
1,2,0,0.353028685
1,0,1,0.36462602
1,2,0,0.329515278
1,2,1,0.505915165
1,1,1,0.447091043
1,1,1,0.517491817
1,1,1,0.552930176
1,2,1,0.447128564
1,1,1,0.552930295
1,1,1,0.258892536
1,2,1,0.423448175
1,0,1,0.282304406
1,1,1,0.470557183
1,0,1,0.353032082
1,1,1,0.458853036
1,2,1,0.329492331
1,0,1,0.552955806
1,2,1,0.494129181
1,0,1,0.494010478
1,2,1,0.482366979
1,2,1,0.400069505
1,0,1,0.447077394
1,0,1,0.353001922
1,1,1,0.353015304
1,2,1,0.458881348
1,0,1,0.552967787
1,2,1,0.423583806
1,0,1,0.411818147
1,0,1,0.329517096
1,0,1,0.364734262
1,2,1,0.447112054
1,2,1,0.399917305
1,0,1,0.423600584
1,1,1,0.32946825
1,1,1,0.458833754
1,0,1,0.341248244
1,2,0,0.30594933
1,2,1,0.482191741
1,0,1,0.505920231
1,1,1,0.494139075
1,2,1,0.376508266
1,1,1,0.317697912
1,2,1,0.341247827
1,1,1,0.270667404
1,1,1,0.435316145
1,0,1,0.376397431
1,0,1,0.61163187
1,0,1,0.329493225
1,1,1,0.43532759
1,0,1,0.341107666
1,0,1,0.38828823
1,2,1,0.505943835
1,1,1,0.611750364
1,2,0,0.353018105
1,2,1,0.564712703
1,1,1,0.717588007
1,0,1,0.740992784
1,2,1,0.529430509
1,0,1,0.294202864
1,1,1,0.400044709
1,0,1,0.329337835
1,2,1,0.388150543
1,2,1,0.400072008
1,1,0,0.552904367
1,1,1,0.317711413
1,2,1,0.3765378
1,1,1,0.458832562
1,2,1,0.317719281
1,0,0,0.388305992
1,1,1,0.447072148
1,1,1,0.305940092
1,2,1,0.576469064
1,1,1,0.611741126
1,0,1,0.388301164
