index,PPT,Condition,Correct,RT
1,101,2,0,0.27133
2,101,1,1,0.36555
3,101,1,1,0.29504
4,101,2,1,0.31843
6,101,1,1,0.34182
7,101,1,1,0.27136
8,101,2,0,0.34201
10,101,2,1,0.40102
11,101,1,1,0.33016
13,101,2,1,0.51847
14,101,2,0,0.53004
16,101,1,1,0.31862
17,101,2,1,0.38898
19,101,2,0,0.40085
20,101,1,1,0.3303
21,101,2,0,0.30676
22,101,1,1,0.3304
23,101,2,1,0.34196
24,101,1,0,0.34201
26,101,2,1,0.49497
27,101,2,1,0.40088
29,101,2,1,0.4708
31,101,1,0,0.3774
32,101,2,1,0.47105
34,101,1,1,0.28308
36,101,2,1,0.48334
37,101,1,1,0.34182
38,101,1,1,0.3419
39,101,1,0,0.30691
40,101,2,1,0.36552
42,101,1,1,0.53024
43,101,2,1,0.48307
44,101,1,1,0.42434
45,101,1,1,0.33028
46,101,2,0,0.27116
48,101,2,1,0.49436
49,101,2,1,0.35353
51,101,1,1,0.30682
52,101,2,0,0.35397
53,101,1,0,0.44777
54,101,2,1,0.60075
55,101,2,1,0.36554
58,101,2,1,0.38905
59,101,1,0,0.36554
61,101,1,1,0.36557
62,101,2,1,0.29491
63,101,2,1,0.30686
64,101,1,0,0.24792
65,101,1,1,0.54194
67,101,2,1,0.43617
69,101,2,1,0.40086
70,101,1,1,0.29495
72,101,1,0,0.30673
73,101,1,1,0.37731
74,101,1,1,0.33027
76,101,2,0,0.34199
79,101,2,1,0.25958
83,101,2,0,0.33039
84,101,2,1,0.35381
86,101,1,1,0.36544
89,101,1,1,0.3303
90,101,2,1,0.47099
91,101,1,0,0.38829
94,101,1,1,0.35382
96,101,1,0,0.23622
97,101,2,0,0.30744
98,101,2,1,0.49493
99,101,2,1,0.37729
100,101,2,1,0.37716
102,101,2,1,0.44791
103,101,2,1,0.4244
104,101,1,1,0.34198
106,101,1,0,0.42435
107,101,2,1,0.44792
109,101,1,1,0.41265
112,101,1,1,0.38886
115,101,2,1,0.30673
116,101,2,1,0.61258
120,101,1,1,0.53015
121,101,1,1,0.40084
122,101,1,1,0.49479
124,101,1,1,0.37718
125,101,1,1,0.41256
128,101,1,1,0.38912
129,101,1,1,0.40084
130,101,2,1,0.49482
132,101,1,1,0.37729
133,101,1,1,0.3772
134,101,1,1,0.3656
135,101,2,0,0.34166
136,101,2,1,0.38846
137,101,1,1,0.62419
138,101,2,1,0.44803
140,101,1,1,0.24786
142,101,2,1,0.61236
143,101,2,0,0.41223
145,101,2,1,0.34185
147,101,1,1,0.38899
149,101,1,1,0.31834
152,101,1,1,0.38903
153,101,1,1,0.33012
155,101,1,0,0.30699
156,101,2,1,0.55349
157,101,2,1,0.50672
158,101,1,1,0.40081
160,101,2,1,0.37671
161,101,2,1,0.40084
162,101,1,1,0.40082
164,101,1,1,0.35366
165,101,1,1,0.42439
166,101,2,1,0.63584
167,101,1,1,0.57729
171,101,1,0,0.31846
174,101,1,0,0.25968
175,101,1,1,0.43606
177,101,1,1,0.5418
178,101,1,1,0.44793
179,101,2,0,0.4596
180,101,1,1,0.75385
181,101,2,0,0.45954
183,101,2,1,0.53007
184,101,2,1,0.49467
186,101,1,1,0.45975
188,101,2,1,0.4238
