id,alpha,eta,eta_r,shape,characteristic_time,peak_amplitude,tau,X^2,bic
1.0,0.14413817867575526,0.29363413977006636,1.8795182740468375,2.7041852524754693,0.02211199954174805,0.3419851432546821,0.30844026409448055,113.90321320896693,2066.438838227579
2.0,0.12448278263228685,0.21547916675787948,3.833730236676475,1.0274294720391475,0.0223336147343055,17.275924537005544,0.2982866506254389,140.83501669380925,2085.9996714116724
3.0,0.13741678245792185,0.29573528267328486,2.4241359041131427,1.9834900103947386,0.023906472953377347,0.309465189432105,0.26397055243967404,84.35677285557487,2116.692161032432
4.0,0.1500930191467742,0.4296266104716062,0.5914842869166015,1.3025396727342458,0.02284283767236757,14.061069589801141,0.29938082325817117,106.01507393116745,2155.552586264018
5.0,0.1000103232211898,0.0835201476134928,2.45158591162094,1.517803599451985,0.022650980491085985,1.9249828686234967,0.35808450678390713,118.34035832179005,1963.246824876842
6.0,0.1385499400581671,0.1899729808401609,-3.171963210316096,1.430877083860422,0.021412018742943885,5.328041064593805,0.3182697211414549,80.542721460881,2012.1722122062713
7.0,0.16189570006367632,0.32341756414527634,0.541395183817287,1.1569115824527347,0.020738527546719808,1.0956036315065365,0.27012032116466944,71.80754660009268,2019.097309581445
8.0,0.14820477666785606,0.38338553875855386,3.1781648280131836,1.1382146497669696,0.02244474054636842,5.676804857805152,0.2512427202613359,79.08215015520324,2131.258552364986
9.0,0.0947128827908765,0.2650813639225287,1.6198839176672175,2.1513541708248014,0.024094571125149893,6.754807320488851,0.24770606993392175,81.54706798815812,2158.8246056360044
10.0,0.11238760963654443,0.10435986613783665,-4.49631514622356,1.0760989130772598,0.020787191509568585,12.07888719551351,0.30741857115604443,164.1536967682642,2048.482350193284
11.0,0.13974320414817368,0.23769071691457055,-1.8279905729968244,2.099125942144841,0.023130428118567643,11.555774151040687,0.2753680737832567,101.70670796204355,2063.371611831343
12.0,0.14242783166123438,0.2942072469830781,1.2806075978331166,1.4815318255173353,0.02059662192010269,5.743466062632213,0.27592058864632696,126.94961111598528,2125.0513603743943
13.0,0.13070635984015067,0.16961184273912489,-3.7712176823284134,1.0256780921858506,0.035441243425530046,13.280909414218529,0.3120677978872197,91.80671050373468,2011.9336388534996
14.0,0.14862094426251438,0.31155281444853333,2.441011828013353,1.4516469693126481,0.02149596950364529,0.16951012814767452,0.31835352309349885,126.02352652492095,2011.874541100763
15.0,0.12309600009081711,0.13958161118482781,2.97794183084081,1.0795690969700034,0.024070601755491756,3.9507463724764076,0.2971541025729687,63.456772341216954,1878.170237827468
16.0,0.12933969380613375,0.21192623431406177,4.801617880711293,2.2614969405167265,0.02098487593261226,2.12355924343089,0.31050321675319914,106.50292560418305,1983.6691232745984
17.0,0.13882856573805308,0.2845069660645356,1.7892310851553717,1.3234479932047412,0.03363410498160753,0.5739029261134991,0.3459560396990202,110.72792224690328,2038.349127475044
