index,PPT,Condition,Correct,RT
374,1,2,0,0.37731
376,1,2,1,0.55376
377,1,1,1,0.48294
379,1,1,1,0.38885
381,1,2,1,0.54198
384,1,2,1,0.3889
388,1,1,1,0.37708
389,1,1,1,0.67119
390,1,2,0,0.37732
394,1,2,0,0.29479
395,1,2,1,0.36552
396,1,1,1,0.4714
397,1,2,0,0.35382
398,1,1,1,0.60075
399,1,2,0,0.63609
401,1,2,1,0.41276
402,1,2,1,1.3183
404,1,1,0,0.28311
405,1,1,1,0.4126
406,1,1,0,0.30684
407,1,1,0,0.2478
408,1,1,1,0.38911
409,1,2,1,0.35405
410,1,2,1,0.34178
411,1,1,1,0.31843
412,1,1,0,0.28307
413,1,1,1,0.27144
414,1,2,1,0.43592
415,1,1,0,0.33039
416,1,1,0,0.16558
418,1,2,1,0.47142
419,1,2,0,0.44775
420,1,2,1,0.45942
421,1,1,1,0.47081
422,1,2,1,0.43593
423,1,1,1,0.45969
424,1,1,0,0.50673
425,1,2,1,0.64772
426,1,2,0,0.53019
427,1,1,1,0.4244
428,1,2,1,0.4479
429,1,1,1,0.42421
430,1,2,1,0.389
431,1,1,1,0.34202
432,1,2,1,0.88311
434,1,1,1,0.37717
435,1,2,1,0.31798
437,1,1,1,0.33029
441,1,1,1,0.35388
448,1,2,1,0.45945
449,1,1,0,0.3419
450,1,2,1,0.4358
451,1,2,1,0.37742
452,1,2,1,0.4832
453,1,2,1,0.45887
454,1,1,1,0.41183
455,1,1,1,0.41246
456,1,2,1,0.45968
457,1,2,0,0.34182
459,1,1,1,0.40094
461,1,1,0,0.37733
462,1,1,1,0.54212
463,1,2,0,0.47131
464,1,2,1,0.45976
465,1,2,1,0.41255
466,1,1,1,0.45963
467,1,2,1,0.64779
468,1,2,1,0.45951
469,1,1,1,0.42438
470,1,1,1,0.49496
471,1,2,1,0.636
472,1,2,1,0.54207
473,1,2,1,0.53027
474,1,1,1,0.42424
475,1,1,1,1.718
477,1,2,1,0.38884
479,1,2,1,0.42441
480,1,2,0,0.47126
481,1,1,1,0.65948
483,1,2,1,0.50665
484,1,1,1,0.64784
486,1,2,1,0.33021
487,1,2,1,0.342
490,1,2,1,0.6008
491,1,1,1,0.71823
492,1,1,1,0.63616
493,1,1,1,0.64712
495,1,1,1,0.8595
496,1,2,0,0.43533
499,1,2,1,0.6242
500,1,2,1,0.47128
503,1,1,1,0.41189
506,1,1,1,0.60072
508,1,1,0,0.62415
509,1,2,1,0.47149
511,1,2,1,0.37733
512,1,1,1,0.37721
514,1,2,1,0.38911
516,1,1,0,0.51846
517,1,2,1,0.42429
518,1,2,1,0.448
519,1,2,1,0.49485
520,1,1,1,1.0239
522,1,1,1,0.38892
523,1,1,1,0.38891
524,1,2,0,0.31849
525,1,2,1,0.58848
527,1,1,1,0.51848
528,1,1,1,0.42378
529,1,2,1,0.48301
530,1,1,0,0.41231
531,1,1,1,0.58907
532,1,1,1,0.36552
533,1,2,0,0.35371
536,1,1,1,0.4594
537,1,2,1,0.45952
538,1,2,1,0.38902
539,1,2,1,0.34201
541,1,1,1,0.41256
543,1,1,1,0.37717
544,1,1,1,0.9293
545,1,2,1,0.38907
546,1,1,1,0.47145
547,1,2,0,0.56525
548,1,1,1,0.42445
549,1,1,1,0.48314
550,1,2,0,0.4362
551,1,1,0,0.58905
552,1,2,1,0.91837
553,1,1,1,0.4714
554,1,1,1,0.95356
559,1,2,1,0.33023
560,1,2,1,0.65934
561,1,2,0,2.7883
563,1,2,1,0.43607
566,1,1,1,0.38904
567,1,1,1,0.36553
569,1,1,1,0.37721
570,1,1,1,0.37744
571,1,1,1,0.35384
576,1,1,1,0.69487
577,1,2,1,0.50657
579,1,1,1,0.36559
582,1,1,1,0.37673
583,1,2,0,0.42424
586,1,1,1,0.34194
587,1,1,1,0.28314
588,1,1,1,0.36542
589,1,1,0,0.24785
590,1,1,1,0.36551
591,1,1,1,0.28312
592,1,2,1,0.37735
593,1,1,1,0.31863
594,1,1,1,0.37671
598,1,2,1,0.2479
599,1,2,1,0.34211
600,1,1,0,0.28332
604,1,1,0,0.28274
605,1,2,1,0.50665
606,1,2,1,0.38901
607,1,1,1,0.28317
608,1,1,1,0.3538
610,1,2,1,0.41254
613,1,1,1,0.28326
616,1,2,1,0.43593
617,1,2,0,0.31833
618,1,2,1,0.43596
619,1,1,1,0.35382
620,1,1,1,0.31854
621,1,2,1,0.36549
624,1,2,0,0.31786
625,1,2,0,0.34201
626,1,1,1,0.43542
627,1,2,1,0.47124
628,1,2,1,0.42418
629,1,1,1,0.29487
630,1,2,1,0.37748
631,1,1,1,0.38903
634,1,1,1,0.36551
635,1,1,1,0.28325
637,1,1,1,0.28313
638,1,2,1,0.37734
639,1,1,1,0.31853
641,1,2,0,0.28278
643,1,2,1,0.30675
645,1,2,1,0.36541
648,1,2,1,0.44783
652,1,1,1,0.36545
653,1,2,0,0.3889
655,1,2,1,0.33026
656,1,2,1,0.36543
657,1,2,1,0.41258
658,1,1,1,0.342
660,1,1,1,0.3774
661,1,2,1,0.37673
662,1,2,1,0.30657
663,1,1,0,0.30678
664,1,2,1,0.48319
665,1,1,1,0.25968
666,1,1,1,0.30671
667,1,2,0,0.28319
668,1,1,1,0.34194
671,1,1,1,0.33003
672,1,2,1,0.45896
673,1,2,1,0.41252
674,1,1,1,0.38843
675,1,1,1,0.30686
677,1,2,1,0.37734
678,1,1,1,0.34199
679,1,1,1,0.25914
680,1,2,0,0.40069
681,1,1,1,0.40075
682,1,2,0,0.28307
684,1,2,0,0.3067
685,1,2,1,0.40086
686,1,2,1,0.45962
687,1,1,1,0.29485
688,1,2,1,0.29501
689,1,2,1,0.35363
690,1,2,0,0.2597
691,1,1,1,0.33026
692,1,1,1,0.31837
696,1,1,1,0.34191
697,1,2,1,0.38894
700,1,1,1,0.36558
701,1,1,1,0.36546
703,1,1,1,0.3301
704,1,1,1,0.38905
706,1,2,0,0.29504
707,1,2,1,0.35377
709,1,2,1,0.25969
710,1,2,0,0.35385
713,1,1,1,0.38901
714,1,1,0,0.30684
717,1,2,0,0.24775
719,1,2,1,0.43623
726,1,2,1,0.3654
727,1,2,0,0.30667
728,1,2,1,0.25987
729,1,1,1,0.31857
733,1,2,1,0.34172
734,1,2,1,0.3888
735,1,2,1,0.44778
737,1,2,0,0.30678
738,1,1,1,0.37723
739,1,2,1,0.40078
740,1,1,1,0.43623
741,1,2,1,0.42422
742,1,1,1,0.38907
744,1,1,1,0.48308
746,1,1,1,0.37724
748,1,2,1,0.31841
749,1,2,1,0.43541
750,1,1,1,0.29495
751,1,2,1,0.37708
752,1,1,1,0.36537
753,1,2,1,0.56568
754,1,1,1,0.37734
755,1,1,1,0.42439
756,1,2,1,0.36541
757,1,2,1,0.35393
758,1,2,0,0.38912
759,1,2,1,0.3774
760,1,1,1,0.4008
761,1,1,1,0.33032
762,1,1,1,0.33017
763,1,2,0,0.38906
764,1,2,1,0.43598
766,1,1,1,0.33024
767,1,2,1,0.40084
769,1,2,1,0.495
771,1,2,1,0.3884
772,1,2,1,0.38892
773,1,2,1,0.41256
774,1,2,1,0.3648
775,1,1,1,0.31849
778,1,2,0,0.35378
780,1,1,1,0.40087
781,1,1,1,0.41257
782,1,1,1,0.42435
785,1,1,1,0.38889
786,1,1,1,0.37675
787,1,2,1,0.5066
789,1,2,1,0.38904
790,1,1,1,0.36552
791,1,2,1,0.38905
792,1,1,1,0.28325
793,1,1,0,0.63633
794,1,1,1,0.40003
799,1,1,1,0.33026
802,1,2,1,0.41239
803,1,2,1,0.43597
805,1,2,0,0.34205
806,1,2,1,0.42432
807,1,1,1,0.37735
808,1,2,1,0.41231
809,1,1,1,0.34209
810,1,1,1,0.25958
813,1,1,1,0.25974
815,1,1,1,0.542
816,1,2,1,0.53024
817,1,1,1,0.35396
818,1,2,1,0.37721
819,1,2,1,0.8476
820,1,2,1,0.41258
822,1,1,1,0.34198
823,1,1,1,0.34201
824,1,2,0,0.4007
825,1,2,0,0.36536
826,1,1,1,0.37737
827,1,1,1,0.34184
828,1,2,1,0.47131
830,1,2,1,0.49489
831,1,2,1,0.40094
832,1,1,1,0.28326
833,1,1,1,0.31854
834,1,2,0,0.27132
835,1,1,1,0.30646
837,1,1,1,0.38892
839,1,2,1,0.40071
841,1,2,1,0.31856
843,1,1,1,0.34209
844,1,1,1,0.31861
845,1,1,1,0.51848
846,1,1,1,0.3774
849,1,1,1,0.36541
856,1,1,1,0.35323
857,1,2,0,0.30676
860,1,2,0,0.33032
861,1,1,1,0.36539
862,1,1,1,0.40065
863,1,1,1,0.33023
865,1,1,1,0.37722
868,1,2,1,0.45963
869,1,2,1,0.40078
870,1,1,1,0.34198
871,1,2,1,0.34215
875,1,1,1,0.64765
876,1,2,0,0.38912
877,1,2,1,0.47081
878,1,1,1,0.43606
879,1,1,1,0.41244
880,1,1,1,0.35382
881,1,2,1,0.64752
882,1,2,1,0.44783
883,1,2,1,0.49495
885,1,2,0,0.33013
886,1,1,1,0.38884
888,1,2,1,0.45943
890,1,1,1,0.40078
891,1,2,0,0.34199
892,1,2,1,0.40077
893,1,2,1,0.41258
896,1,2,1,0.40068
897,1,1,1,0.33029
898,1,2,1,0.35398
900,1,1,1,0.36537
901,1,1,1,0.38946
902,1,1,1,0.38882
903,1,1,1,0.36558
904,1,1,1,0.38896
905,1,1,1,0.3418
906,1,2,1,0.41245
907,1,2,1,0.50666
908,1,1,1,0.47138
909,1,2,1,0.41245
910,1,1,1,0.49497
911,1,1,1,0.40072
912,1,1,1,0.41254
914,1,2,0,0.35377
917,1,1,1,0.342
918,1,2,0,0.25896
919,1,1,0,0.2596
920,1,1,1,0.36483
922,1,2,1,0.49458
924,1,2,1,0.54137
925,1,2,1,0.38904
926,1,1,1,0.37743
928,1,2,1,0.5537
929,1,2,1,0.38913
930,1,2,1,0.41249
932,1,1,1,0.3303
933,1,1,1,0.37674
934,1,2,1,0.36551
935,1,1,1,0.35366
936,1,2,1,0.38889
938,1,2,1,0.41275
940,1,2,0,0.35372
941,1,1,1,0.70644
942,1,2,1,0.41237
944,1,1,1,0.41255
946,1,1,1,0.54216
947,1,1,1,0.55348
950,1,2,1,0.3538
952,1,1,1,0.56553
953,1,1,1,0.45973
954,1,1,1,0.44796
955,1,1,1,0.70648
956,1,1,1,1.2006
957,1,2,1,0.42437
959,1,1,1,0.4008
960,1,1,1,0.37662
962,1,2,1,0.71836
963,1,2,1,0.34202
966,1,1,1,0.483
967,1,2,1,0.76475
968,1,1,1,0.38833
969,1,2,1,0.8831
970,1,2,1,0.45938
971,1,1,1,0.38907
972,1,2,1,0.38913
974,1,1,1,0.36559
975,1,1,1,0.41252
977,1,1,1,0.389
980,1,1,1,0.3655
982,1,2,1,0.40078
983,1,2,1,0.31846
986,1,2,1,0.36548
987,1,1,1,0.30665
988,1,2,1,0.54187
989,1,1,1,0.31845
990,1,2,0,0.38899
993,1,2,1,0.29495
996,1,2,1,0.43598
999,1,1,1,0.33053
1001,1,1,1,0.41253
1002,1,2,0,0.35382
1007,1,2,1,0.31846
1009,1,2,1,0.36545
1012,1,2,1,0.43595
1014,1,1,1,0.34191
1016,1,2,1,0.41259
1017,1,1,1,0.33012
1018,1,1,1,0.3891
1019,1,2,1,0.25944
1022,1,1,1,0.37675
1023,1,1,1,0.36549
1025,1,1,1,0.31843
1027,1,2,1,0.34188
1028,1,2,0,0.30675
1029,1,1,1,0.3655
1031,1,2,1,0.44774
1032,1,1,0,0.31848
1035,1,2,0,0.3413
1037,1,2,1,0.4596
1038,1,2,0,0.44867
1041,1,1,1,0.45953
1042,1,1,1,0.37735
1043,1,2,0,0.31843
1044,1,1,1,0.3539
1045,1,2,1,0.48323
1046,1,2,1,0.43621
1047,1,2,1,0.43602
1048,1,1,1,0.38896
1050,1,1,1,0.37741
1051,1,1,1,0.41266
1054,1,1,1,0.37719
1055,1,1,1,0.34206
1056,1,2,1,0.49469
1057,1,2,1,0.40087
1058,1,1,1,0.4009
1059,1,1,1,0.36541
1060,1,1,1,0.33038
1061,1,1,1,0.34201
1062,1,2,1,0.57724
1063,1,1,1,0.34195
1064,1,2,1,0.37713
1067,1,1,1,0.436
1068,1,2,1,0.36556
1069,1,2,1,0.3419
1070,1,2,1,0.35377
1071,1,1,1,0.36553
1073,1,2,1,0.41245
1075,1,1,1,0.38895
1076,1,2,1,0.48314
1078,1,2,1,0.44783
1079,1,2,1,0.30614
1081,1,2,1,0.57721
1082,1,1,1,0.36552
1084,1,1,1,0.29481
1085,1,1,1,0.389
1087,1,1,1,0.33031
1088,1,1,0,0.42425
1089,1,1,1,0.33032
1090,1,2,1,0.45934
1092,1,2,1,0.35374
1094,1,2,1,0.6833
1096,1,2,1,0.7301
1097,1,2,1,0.40092
1098,1,2,1,0.51787
1099,1,1,1,0.47133
1101,1,2,1,0.34198
1102,1,2,1,0.42464
1103,1,1,1,0.38875
