PPT,Condition,RT,Correct
1,1,0.468086482,1
1,2,0.368046995,1
1,1,0.351353526,1
1,1,0.334630612,1
1,2,0.451500773,1
1,2,0.484845047,1
1,2,0.468095515,1
1,1,0.45160733,1
1,2,0.61836863,1
1,2,0.401456695,1
1,2,0.418053432,1
1,1,0.451465619,1
1,2,0.451420443,1
1,1,0.468125805,1
1,2,0.484825354,1
1,1,0.351261738,1
1,1,0.384699829,1
1,1,0.451437761,1
1,2,0.417991246,1
1,1,0.434743571,1
1,1,0.351311407,1
1,2,0.467892881,1
1,2,0.518208214,1
1,2,0.468155492,1
1,1,0.418067215,1
1,1,0.401183591,1
1,1,0.418038019,1
1,2,0.434741899,1
1,1,0.401106091,1
1,1,0.468046586,0
1,1,0.551546293,1
1,1,0.401362108,1
1,2,0.36773071,1
1,2,0.384715279,1
1,1,0.418071336,1
1,2,0.468162969,1
1,2,0.468105644,1
1,1,0.685099812,1
1,1,0.384553302,1
1,2,0.451441355,1
1,2,0.368023956,1
1,1,0.384722119,1
1,2,0.351395514,1
1,1,0.384749773,1
1,2,0.334652591,1
1,1,0.55149008,1
1,2,0.45148587,1
1,2,0.501515276,1
1,2,0.368017576,1
1,2,0.384801158,1
1,1,0.334673042,1
1,1,0.384686423,1
1,2,0.367965629,1
1,2,0.434860234,1
1,2,0.468109441,1
1,1,0.451420481,1
1,1,0.384730197,1
1,2,0.384651918,1
1,2,0.368063778,1
1,1,0.418072957,1
1,2,0.401159927,1
1,1,0.368035708,1
1,2,0.384728639,1
1,1,0.384678061,1
1,2,0.434798363,1
1,1,0.434784309,1
1,2,0.451460526,1
1,1,0.368066064,1
1,1,0.368005302,1
1,1,0.317946141,1
1,2,0.418036433,1
1,1,0.334637447,1
1,2,0.451454475,1
1,1,0.33461014,0
1,1,0.384727882,1
1,2,0.46818718,1
1,2,0.367988769,1
1,1,0.368077365,1
1,1,0.518226142,1
1,2,0.38436618,1
1,1,0.368084946,1
1,2,0.418100944,1
1,2,0.401468755,1
1,1,0.384755062,1
1,2,0.401461484,1
1,2,0.384737737,1
1,2,0.384652291,1
1,2,0.351338417,1
1,1,0.484818968,1
1,1,0.384605232,1
1,2,0.317863041,1
1,2,0.36797008,1
1,2,0.401293731,1
1,1,0.451500473,1
1,2,0.468109964,1
1,1,0.368034994,1
1,1,0.451464304,1
1,1,0.384654532,1
1,1,0.401458249,1
1,1,0.33471981,1
1,1,0.384640814,1
1,2,0.384673655,1
1,1,0.301312915,1
1,1,0.584975186,1
1,2,0.468086384,1
1,2,0.451492171,1
1,2,0.368036626,1
1,1,0.401380804,1
1,2,0.367989941,0
1,1,0.451430363,1
1,2,0.468048271,1
1,2,0.384770318,1
1,1,0.401475409,1
1,1,0.484792684,1
1,1,0.401395015,1
1,1,0.384748168,1
1,1,0.418121148,1
1,2,0.401342415,1
1,2,0.501480978,1
1,2,0.534849351,1
1,1,0.367976697,1
1,2,0.418005649,1
1,1,0.384745391,1
1,1,0.351350211,1
1,1,0.334679333,1
1,1,0.33470646,1
1,2,0.418036721,1
1,1,0.401400824,1
1,1,0.534937429,1
1,2,0.351158065,0
1,1,0.434748762,1
1,2,0.484835348,1
1,2,0.45140377,1
1,2,0.434816896,1
1,1,0.40135196,1
1,2,0.451187225,1
1,2,0.468142898,1
1,1,0.36803552,1
1,1,0.351392043,1
1,2,0.35129083,0
1,2,0.368006467,1
1,1,0.334680613,1
1,2,0.36802072,1
1,2,0.351394363,0
1,1,0.401445718,1
1,2,0.501520364,1
1,2,0.501493627,1
1,2,0.484763928,1
1,1,0.401390272,1
1,1,0.401429021,1
1,1,0.434809073,1
1,1,0.40130905,1
1,2,0.351369772,0
1,2,0.43478473,1
1,2,0.484868941,1
1,1,0.401386536,1
1,1,0.434811692,0
1,2,0.568208072,1
1,1,0.401344687,1
1,2,0.501470837,0
1,2,0.484822813,1
1,2,0.351262757,1
1,2,0.484866698,1
1,1,0.418048739,1
1,2,0.368039877,1
