PPT,Condition,Correct,RT
1,1,1,0.595605
1,1,1,0.583756
1,2,1,0.730312
1,1,1,0.512514
1,2,1,0.671345
1,2,1,0.600203
1,2,1,0.731753
1,2,1,1.141232
1,2,1,0.653037
1,2,1,0.582538
1,2,1,0.587387
1,2,1,0.639537
1,1,1,0.497742
1,1,1,0.536869
1,2,1,0.527031
1,2,1,0.624667
1,1,1,0.763487
1,1,1,0.690054
1,2,1,0.658237
1,2,1,0.587083
1,1,1,0.909108
1,1,1,0.548252
1,2,1,0.820679
1,1,1,0.493791
1,2,1,0.652832
1,2,1,0.50176
1,1,1,0.596581
1,2,1,0.440006
1,2,1,0.72152
1,1,1,0.616398
1,2,1,0.647006
1,1,1,0.536436
1,2,1,0.648253
1,1,1,0.657801
1,2,1,0.435473
1,1,1,0.642328
1,1,1,1.427931
1,1,1,1.442365
1,2,1,0.564998
1,1,1,0.538441
1,2,1,0.600579
1,2,1,0.588093
1,2,1,0.600284
1,2,1,1.2981
1,2,1,0.588172
1,2,1,0.712348
1,2,1,0.751858
1,1,1,1.013449
1,2,1,0.599408
1,2,1,0.531821
1,1,1,1.042659
1,1,1,0.908336
1,2,1,0.748096
1,2,0,1.995006
1,2,1,0.466233
1,1,1,0.451696
1,1,1,0.546764
1,1,1,0.565786
1,1,1,0.715291
1,1,1,1.12287
1,1,1,0.622148
1,2,1,0.584334
1,1,1,0.562241
1,2,1,0.551172
1,1,1,0.483944
1,1,1,0.476014
1,1,1,1.051003
1,1,1,0.708017
1,2,1,0.938565
1,1,1,0.536314
1,1,1,0.509832
1,2,1,0.596691
1,1,1,0.660985
1,1,1,0.517861
1,2,1,0.550471
1,1,1,1.531965
1,2,1,0.667415
1,1,1,0.366417
1,2,1,0.523807
1,2,1,0.585975
1,2,1,1.013543
1,1,1,0.560451
1,2,1,0.789318
1,2,1,0.553863
1,1,1,0.846372
1,1,1,0.66393
1,1,1,1.588642
1,1,1,0.427308
1,1,1,0.453931
1,1,1,0.415396
1,1,1,0.546862
1,2,1,1.209043
1,2,1,0.524689
1,1,1,0.596312
1,2,1,0.720498
1,2,1,0.595266
1,2,1,0.526784
1,1,1,0.589556
1,1,1,0.523414
1,1,1,0.634222
1,2,1,0.794696
1,1,1,0.768503
1,2,1,0.773452
1,2,1,0.706319
1,2,1,0.549878
1,1,1,0.660055
1,2,1,0.725581
1,2,1,1.500431
1,2,1,0.684311
1,2,1,0.515512
1,2,1,0.793699
1,2,1,0.613197
1,1,1,1.240081
1,2,1,0.904829
1,2,1,0.941431
1,1,1,0.819079
1,1,1,0.544355
1,1,1,1.796957
1,1,1,0.681575
1,1,1,1.329865
1,2,1,0.729649
1,1,1,0.439882
1,2,1,0.576176
1,2,1,0.466629
1,1,1,0.484154
1,1,1,0.516213
1,1,1,0.480247
1,1,1,0.473105
1,2,1,1.001931
1,2,1,1.476579
1,1,1,0.403844
1,2,1,0.527324
1,1,1,0.526088
1,2,1,0.577793
1,1,1,0.429913
1,2,1,1.800331
1,1,1,0.555704
1,2,1,0.45654
1,2,1,0.457996
1,1,1,0.346808
1,1,1,0.344882
1,2,0,0.342366
1,1,1,0.408927
1,1,1,0.395279
1,1,1,0.390747
1,2,1,0.38618
1,2,1,0.407492
1,1,1,0.306199
1,1,1,0.376967
1,2,1,0.581051
1,2,1,0.44195
1,1,1,0.468396
1,2,1,0.500163
1,2,1,0.508247
1,1,1,0.41176
1,1,1,0.423192
1,1,1,0.321992
1,2,1,0.42379
1,1,1,0.41729
1,2,1,0.404167
1,1,1,0.375604
1,1,1,0.628411
1,2,1,0.44664
1,2,1,0.33678
1,1,1,0.317145
1,2,1,0.256816
1,2,1,0.35353
1,2,1,0.287162
1,2,1,0.20624
1,2,1,0.224345
1,2,1,0.258994
1,2,1,0.276393
1,1,1,0.416856
1,1,1,0.340331
1,2,1,0.337402
1,1,1,0.316301
1,1,1,0.419712
1,2,0,0.367957
1,1,1,0.408207
1,2,1,0.662118
1,1,1,0.363719
1,2,1,0.433213
1,2,1,0.318217
1,1,1,0.340943
1,1,1,0.382122
1,1,1,0.298272
1,2,1,0.521702
1,2,0,0.277292
1,1,1,0.389384
1,1,1,0.336797
1,2,1,0.494271
1,1,1,0.414465
1,2,1,0.400892
1,2,1,0.46033
1,1,1,0.629807
1,1,1,0.328673
1,2,1,0.47679
1,1,1,0.301654
1,1,1,0.309052
1,1,1,0.666833
1,1,1,0.292392
1,1,1,0.38048
1,2,1,0.321234
1,1,1,0.322764
1,1,1,0.289547
1,1,1,0.273564
1,1,1,0.163029
1,2,1,0.030042
1,1,0,0.311997
1,1,1,0.415456
1,1,1,0.282249
1,2,1,0.386292
1,1,1,0.305896
1,1,1,0.384647
1,2,1,0.292722
1,1,1,0.380172
1,2,0,0.239899
1,2,1,0.417413
1,2,1,0.388092
1,2,1,0.47126
1,2,0,0.396228
1,2,1,0.4627
1,2,1,0.328172
1,2,1,0.366892
1,1,1,0.324333
1,1,1,0.307118
1,2,1,0.282472
1,2,0,0.293999
1,1,1,0.438095
1,1,1,0.392038
1,2,0,0.436184
1,2,1,0.406299
1,1,1,0.491868
1,1,1,0.40812
1,2,0,0.378119
1,1,1,0.417754
1,2,1,0.371788
1,2,1,0.919909
1,1,1,0.342238
1,2,1,0.49175
1,2,1,0.403832
1,1,1,0.390583
1,2,1,0.489157
1,1,1,0.36869
1,2,1,0.466384
1,1,1,0.371116
1,2,1,0.45673
1,1,1,0.320738
1,1,1,0.398877
1,1,1,1.035719
1,2,0,0.385528
1,1,1,0.445635
1,2,0,0.334793
1,2,1,0.444822
1,2,1,1.023013
1,2,1,0.450027
1,2,1,0.499068
1,2,1,0.483196
1,2,1,0.451111
1,1,1,0.412515
1,2,1,0.495355
1,2,0,0.344931
1,1,1,0.471023
1,1,1,0.535173
1,2,1,0.46816
1,2,1,0.612002
1,2,1,0.359697
1,1,1,0.40513
1,1,1,0.250973
1,1,1,0.333094
1,1,1,0.403852
1,1,1,0.302635
1,1,0,0.231533
1,2,1,0.481613
1,1,1,0.403556
1,2,1,0.479032
1,1,1,0.487153
1,1,1,0.37464
1,1,1,0.350215
1,1,1,0.404307
1,2,1,0.36706
1,1,1,0.462328
1,1,1,0.383097
1,2,1,0.515274
1,1,1,0.606908
1,1,1,0.434402
1,2,1,0.58069
1,1,1,0.31286
1,2,1,0.40889
1,1,1,0.343189
1,2,1,0.221302
1,2,1,0.35131
1,2,1,0.291131
1,1,1,0.339198
1,2,1,0.512577
1,2,1,0.484967
1,1,1,0.364449
1,1,1,0.273252
1,1,1,0.555385
1,1,1,0.381682
1,1,1,0.405338
1,1,1,0.384824
1,1,1,0.372209
1,2,1,0.352024
1,2,1,0.525456
1,1,1,0.404356
1,2,1,0.327823
1,2,1,0.415274
1,2,1,0.458753
1,1,1,0.324239
1,1,1,0.81823
1,1,1,0.349162
1,2,1,0.483259
1,1,1,0.189623
1,2,0,0.264073
1,2,0,0.401442
1,2,1,0.267059
1,1,1,0.283799
1,2,0,0.275193
1,2,1,0.355209
1,2,1,0.31185
1,2,1,0.303133
1,2,1,0.374016
1,2,1,0.466816
1,1,1,0.395675
1,2,1,0.447168
1,2,1,0.420746
1,1,1,0.341812
1,1,1,0.393458
1,1,1,0.381594
1,1,1,0.354352
1,1,1,0.375731
1,2,0,0.383335
1,1,1,0.323061
1,2,1,0.484619
1,2,1,0.380163
1,1,1,0.416267
1,1,1,0.435048
1,1,1,0.339248
1,1,1,0.328456
1,2,1,0.446475
1,2,1,0.45593
1,1,1,0.331564
1,2,1,0.377669
1,1,1,0.405721
1,2,1,0.356019
1,1,1,0.361427
1,2,1,0.987953
1,1,1,0.711724
1,2,1,0.630632
1,2,1,0.641548
1,1,1,0.587761
1,1,1,0.42399
1,2,1,1.781354
1,1,1,0.436823
1,1,1,0.586002
1,1,1,0.597551
1,2,1,0.600826
1,2,1,0.545261
1,1,1,0.431391
1,1,1,0.786242
1,2,1,0.685885
1,2,1,0.486134
1,1,1,0.460012
1,2,1,0.49335
1,2,1,0.501546
1,1,1,0.461031
1,1,1,0.718569
1,1,1,0.469468
1,2,1,0.454277
1,1,1,0.488621
1,2,1,0.432833
1,1,1,0.442637
1,1,1,0.524986
1,2,1,0.419849
1,2,1,0.430664
1,1,1,0.433494
1,2,1,0.338953
1,2,1,0.352981
1,2,1,0.68358
1,2,1,0.5165
1,2,1,0.37195
1,2,1,0.392795
1,2,1,0.332934
1,1,1,0.890713
1,1,1,0.515025
1,2,1,0.474579
1,1,1,0.715843
1,1,1,0.362835
1,2,1,0.465763
1,1,1,0.468726
1,2,1,0.5211
1,1,1,0.475113
1,2,1,0.491958
1,2,1,0.605832
1,1,1,0.689309
1,1,1,0.425794
1,1,1,0.37962
1,2,1,0.608425
1,2,1,0.476148
1,1,1,0.396912
1,1,1,0.457077
1,2,1,0.43464
1,1,1,0.372781
1,2,1,0.449589
1,2,1,0.459765
1,1,1,0.444232
1,1,1,0.382419
1,2,1,0.431413
1,1,1,0.466215
1,1,1,0.419741
1,1,1,1.638623
1,1,1,0.66518
1,1,1,0.393772
1,2,1,0.493942
1,1,1,0.30932
1,1,1,0.356802
1,1,1,0.394197
1,1,1,0.553532
1,2,1,0.511225
1,1,1,0.518081
1,1,1,0.452946
1,1,1,0.429792
1,2,1,0.400536
1,1,1,0.365942
1,1,1,0.37071
1,2,1,0.343455
1,1,1,0.309499
1,2,1,0.516313
1,2,1,0.435914
1,2,1,0.389395
1,2,0,0.375672
1,2,1,0.423292
1,2,1,0.514112
1,2,1,0.385607
1,2,1,0.445777
1,1,1,0.335245
1,1,1,0.3885
1,2,1,0.375859
1,2,1,0.560115
1,1,1,0.501596
1,1,1,0.518043
1,2,1,0.428272
1,2,1,0.470304
1,1,1,0.407128
1,1,1,0.430653
1,2,1,0.403566
1,1,1,0.371886
1,2,1,0.368716
1,2,1,0.485501
1,1,1,0.39672
1,2,1,0.608839
1,2,1,0.500411
1,1,1,0.363935
1,2,1,0.342114
1,1,1,0.372278
1,2,1,0.618468
1,1,1,0.43674
1,2,1,0.523059
1,1,1,0.459024
1,1,1,0.931525
1,1,1,0.809249
1,2,1,0.500315
1,1,1,0.468432
1,2,1,0.517301
1,2,1,0.5073
1,2,1,0.450661
1,2,1,0.404167
1,2,1,0.52138
1,2,1,0.448244
1,2,1,0.402414
1,1,1,0.293782
1,2,1,0.341354
1,2,1,0.487863
1,1,1,0.551985
1,1,1,0.429548
1,2,1,0.369216
1,2,1,0.526032
1,2,1,0.500144
1,1,1,0.396255
1,1,1,0.392622
1,1,1,0.432261
1,1,1,0.538052
1,1,1,0.456241
1,1,1,0.500603
1,2,1,0.444114
1,1,1,0.353065
1,2,1,0.590547
1,1,1,0.370083
1,1,1,0.405812
1,1,1,0.414924
1,1,1,0.474345
1,2,1,0.715222
1,1,1,0.492324
1,1,1,0.372494
1,2,1,0.40032
1,1,1,0.513323
1,1,1,0.552793
1,2,1,0.521118
1,1,1,0.384041
1,2,1,0.458236
1,1,1,0.392029
1,2,1,0.332205
1,2,1,0.682883
1,2,1,0.41112
1,1,1,0.422698
1,2,1,0.400852
1,2,1,0.425783
1,1,1,0.619971
1,1,1,0.646861
1,1,1,0.618783
1,1,1,0.456106
1,1,1,0.422048
1,1,1,0.624865
1,1,1,0.427684
1,2,1,0.670617
1,2,1,0.454513
1,1,1,0.38815
1,2,1,0.456286
1,2,1,0.477284
1,2,1,1.094134
1,1,1,0.654543
1,1,1,0.612738
1,1,1,0.423656
1,2,1,0.538427
1,1,1,0.46418
1,2,1,0.63377
1,2,1,0.483965
1,2,1,0.452488
1,1,1,0.390066
1,2,1,0.50627
1,2,1,0.473038
1,2,1,0.456892
1,2,1,0.474421
1,2,1,0.243478
1,2,1,0.70715
1,1,1,0.466728
1,2,1,0.388235
1,2,1,0.404164
1,1,1,0.383641
1,1,1,0.48941
1,1,1,0.409682
1,1,1,0.437074
1,1,1,0.422384
1,2,1,0.443887
1,1,1,0.366055
1,2,1,0.452411
1,2,1,0.501882
1,1,1,0.381409
1,1,1,0.490151
1,1,1,0.356179
1,1,1,0.30566
1,2,0,0.345087
1,2,1,0.446557
1,1,1,0.473597
1,2,1,0.361726
1,1,1,0.454575
