id,alpha,beta,mu_c,characteristic_time,peak_amplitude,tau,X^2,bic
1.0,0.17016395262883854,0.15994381071946068,0.5264349530999658,0.9002360569508726,0.03887869225314419,0.1674961467890868,77.80295249470508,2019.295655677592
2.0,0.10094762637027015,0.14432718641941544,0.6420130977042686,0.6000418149918182,0.15068658177191152,0.26738365071177755,53.34687334163378,1987.468606223773
3.0,0.07578851802034148,0.2933776383107686,0.3798194745638511,0.7818012258908361,0.03221158272382238,0.2436539147511651,63.88473073136957,2085.177197072502
4.0,0.07759385451511308,0.3152356485003842,0.4141036739525529,0.6412934119702749,0.1342573683926092,0.2866501069097865,55.43445883662377,2093.9290493337503
5.0,0.09117923528737892,0.5235973420919211,0.43804984954037574,0.541183093525364,0.29772452729122173,0.35743013356207765,26.179255150955118,1860.0427998702828
6.0,0.09727194019852398,0.2614784980397589,0.462548534449326,0.5717569302471834,0.09790886253830548,0.298394406094187,48.786660510712444,1969.373229420378
7.0,0.098352152810155,0.25598938526811055,0.4811111255396767,0.5373680495367295,0.08553132709837304,0.2555492455138969,23.06292816658269,1959.3097693122106
8.0,0.08601732923810754,0.19050827725492891,0.34825566532535635,0.5506909160470698,0.015584535297990226,0.19818389293168664,61.7454593688148,2102.878939742873
9.0,0.07096010836321417,0.4105918851235009,0.3935676027872246,0.17830202109198312,0.05756919199000676,0.23012100535652127,88.4782911820058,2154.7129069941275
10.0,0.16573876597566206,0.16935102737337193,0.7942581092266894,0.3692587533131402,0.3064181345457585,0.24823973826458604,37.69209568065876,1910.977827269954
11.0,0.09275043840402797,0.18724010818507364,0.5628388072026951,0.9605733805411301,0.11983653833699452,0.25522145422606884,33.87908111785418,1984.5010631514292
12.0,0.09083741882732535,0.2772827351559637,0.4342515245908294,0.4968677803228568,0.1614167835767696,0.2557659037506998,28.596240234977387,2015.655067657662
13.0,0.15422931659692762,0.13781205212385783,0.7860852548321353,0.6444778760601062,0.07232597635386082,0.25290404725406157,104.06158663974047,2013.1455931537812
14.0,0.17119264561502437,0.14253875337659666,0.7649592934706824,0.5221006496075264,0.12523532236670581,0.2382977322198835,48.34867219487795,1923.1567649349965
15.0,0.29264455541712403,0.6776093902845678,0.5152830577837982,0.9485133552173635,0.05271385815259222,0.24878285255110275,26.17142655293606,1829.8419702034626
16.0,0.1494717054238483,0.2238447128497043,0.640497784715145,0.6379327103262977,0.11474663912701683,0.24674363824772713,31.35890999334899,1897.4821858280393
17.0,0.10142560227169135,0.2384301487745225,0.5137948785071778,0.9378774993122142,0.12743403157178068,0.31432487062416264,35.3417071829765,1951.9199905753928
18.0,0.127338106741757,0.21322706294710903,0.3889766969092768,0.3760369628469912,0.13149203864043024,0.18453308796217205,97.84897641131248,2089.2391833253255
19.0,0.12503923601874709,0.2027841788208291,0.49114570053529055,0.8010129636222595,0.09845190908680874,0.22854451655063224,27.12055835703226,1967.2519468430332
20.0,0.08825486982565983,0.3262028039425133,0.39060236073474786,0.8741317718863597,0.04692204978167225,0.25751055217252655,52.5692665609548,2015.4168475714962
21.0,0.07546267625930547,0.2595740993240596,0.4838978192211523,0.6139696364533804,0.1831349003007533,0.2733170217176224,76.11498922455299,2071.4423810279304
22.0,0.0909420262343395,0.31826808450737876,0.4271658242112423,0.8899242019875473,0.12699961014377592,0.2888649675629138,14.013514673020968,1959.6717146572719
