id,alphaSS,betaSS,deltaSS,alphaRS,betaRS,delta_target,delta_flanker,deltaRS,tau,X^2,bic
1.0,0.3486105474586523,0.6959017969183179,0.5097176458331835,0.17476388946689062,0.9934316692638755,0.1484919696257429,0.11118443617761326,1.0235803136042667,0.21848243127781342,337.588868888035,2301.167415742371
2.0,0.2101049344165909,0.6366718732624722,0.5343432754755032,0.23101799559717903,0.9989242218065053,0.14943002387687207,0.052490535951471545,0.9767831339223124,0.2565415008525518,584.4640901743536,2540.6716667279416
3.0,0.21758175575126237,0.7330895449513577,0.5025852823600863,0.18207717903028486,0.9991426084213555,0.1491980459349541,0.05065758652298638,0.7813329323762774,0.23057896098810537,624.9218111956192,2668.3001212082004
4.0,0.209602811203778,0.8498301522009307,0.38524822385011676,0.1409375271298307,0.5247098231983488,0.14948438287475826,0.1293082710280712,0.44601437547192196,0.19903479032461713,369.8788614638618,2430.459295632437
5.0,0.276630650334179,0.7730892499624413,0.5309249338382986,0.22591879315927732,0.999321860669798,0.14866285082242905,0.06787935713014112,0.5591500978460829,0.3294925427458537,201.14522076107892,2057.0946091518554
6.0,0.15045723502036418,0.36869678612863777,0.5473098490106781,0.24909587398417107,0.9997855615916763,0.14881357866927025,0.06551923093654696,0.6051315579514577,0.24648732203885124,295.52291922971864,2238.195331810833
7.0,0.16028006298921407,0.3453718192766337,0.5491177312062567,0.3326730933741758,0.9991509117483673,0.14730748715845177,0.0644119717539233,0.8127349912920061,0.19848116382163233,335.4966646150653,2293.8293494321424
8.0,0.16457950558948786,0.6333360256290805,0.4088026076238366,0.22138636568425282,0.9872873007367858,0.14627456486440948,0.051840744557263736,0.48916276579475443,0.20170762659607247,726.7469764848972,2789.9663005304046
9.0,0.2497545862391325,0.8210238860270491,0.54251918767755,0.19965150966637857,0.9954624854543341,0.08853872633301443,0.061719648958741796,0.5235608912396321,0.22705683827610756,609.3845731363044,2697.7050326198755
10.0,0.24205992923140207,0.6782961668235554,0.526233247099399,0.16317396284112845,0.9997019782751959,0.14948864178964233,0.050232400503881044,0.6168109783393825,0.26443607745290726,353.9360730099572,2249.307648270701
11.0,0.21279427031133263,0.7233757452676246,0.49092606734320243,0.24696254554106228,0.9824460073654675,0.1483273728238264,0.05085970026127218,0.5889886797757428,0.23545517880297662,644.2185643396733,2616.926390044697
12.0,0.17099843499597647,0.3797864947646673,0.5486879490121466,0.24649561136124729,0.9995912470816096,0.1484150350416161,0.06360235127175468,0.5406620183727278,0.18769597812391808,766.9665133075038,2776.111184401637
