id,alphaSS,betaSS,etaSS,alphaRS,betaRS,etaS1,etaS2,eta_r,tau,X^2,bic
1.0,0.15679070299762715,0.9569805591251193,0.4314144312543603,0.14001424459120276,0.24316047526974494,0.14896301470516862,0.2333946557031247,0.4253765091914502,0.15191328840605106,690.9128748850952,2870.6316418864876
2.0,0.1460873534835676,0.8884991077828337,0.28527876373893574,0.1417295343357775,0.5235045706693214,0.1469266970545157,0.24075427953494358,0.40985127715534087,0.21270089305096673,164.64350183060156,2269.150223199761
3.0,0.1678297733122056,0.9926271652356349,0.26576020713029463,0.1443148253734901,0.6892875191009035,0.1462628122878471,0.07561201240065464,0.7568749002563439,0.22772843762227418,361.8181965016375,2405.422373983
4.0,0.270705087135034,0.8184122179002085,0.2503569674364462,0.14778291732853088,0.767234248165763,0.14710488440642178,0.11545414234218085,0.43631337580207463,0.2819569658307654,247.64466845465608,2253.382404509142
5.0,0.19568261218766436,0.9848705501626008,0.251540180267963,0.15641976549806508,0.6600442338668415,0.12903940300190972,0.19180348332198288,0.4292204807834114,0.24997122567019586,394.51280045486254,2412.598155215355
7.0,0.14071184886112947,0.5889114618504051,0.41792265887706265,0.1451611940540038,0.7723953415522206,0.1437300969740626,0.1625186413346996,0.48027876150083665,0.28720428005997994,137.6053988482862,2144.053328817978
8.0,0.3539675004099824,0.9933302252088271,0.42284003630922745,0.1512931110979276,0.6087792131391534,0.14733271126952752,0.118480795902174,0.4116017677889372,0.2106970530127773,545.3626980997648,2741.5911119903626
9.0,0.32051691510144803,0.9991231947325039,0.27522499165243164,0.1402508703062874,0.6032694193507222,0.1482551394068049,0.16505935929830337,0.6596563408409754,0.2606837211094315,325.4485278071178,2406.247778295993
10.0,0.22564044835784705,0.9241935132915243,0.29308959379916516,0.14282116698564404,0.6819313230076792,0.1493615290810109,0.0996802938138417,0.7678761165130481,0.24210492411818546,339.95652166857906,2382.6075786841943
11.0,0.14013699965184556,0.3695489425265331,0.3951069720164796,0.3155963096321,0.9973973278988014,0.11058864276368492,0.16642015336145305,0.4151479241914426,0.29637014576887727,381.16475490031786,2342.385143679045
12.0,0.27069123041666193,0.7673452827148957,0.4361641891270446,0.15598828770455905,0.7161360888179403,0.14363274456414324,0.08944306797494522,0.4578242402388827,0.33766202044040416,215.2723195205164,2201.734337349023
13.0,0.31218963127533444,0.9900398063368511,0.2576010200382498,0.1481294072615595,0.6934935708964289,0.14743006301896425,0.17694697613778704,0.5654125893578914,0.28662056571755273,347.4695319368547,2365.669945606796
14.0,0.17092582414056845,0.9812823519386801,0.2534902809041121,0.15750532684062596,0.6559892341196922,0.13468443801258104,0.14756544713384448,0.46146702427645775,0.18813992135611834,406.21846461374037,2425.7950374347606
15.0,0.3239800109823254,0.9497209024611968,0.25833353353978317,0.14025832487728174,0.6113500269615191,0.1377396189882995,0.20564575465500562,0.4358261041737664,0.24264188488329758,228.30266802938735,2316.46427459049
16.0,0.14026451107421423,0.3405387492456852,0.4232475043255611,0.3380223095019585,0.9998327081339925,0.12468812169272615,0.17335784397653003,0.5160043497577078,0.3538933704760387,274.3530133712462,2161.767283396596
18.0,0.14,0.3700160477183632,0.41012573868004415,0.2646708505666759,0.9993358847764318,0.11510576937724182,0.09893840956505986,0.44365441236653574,0.3032601851641888,321.0032149601952,2302.8613530204716
19.0,0.16974499711816365,0.8069311549908303,0.3018925396541293,0.2280076247976433,0.9883467659303351,0.08710354835672017,0.09012090067738948,0.4276985519945206,0.3266427544960785,384.7620486367151,2304.5847122804084
20.0,0.2325499065580612,0.8969059005745315,0.28932274633540156,0.14208641823791013,0.7363563777958151,0.12849943687253923,0.11124665148010739,0.4691174417969304,0.29591887309452686,308.1238382138091,2315.755762705915
21.0,0.14579562884103842,0.8668998433772269,0.4287585456986035,0.14047507793050384,0.481430159664502,0.14787486754059892,0.1715063070223565,0.5080919661845201,0.20853747985932203,239.17143219280754,2463.175222966772
22.0,0.2712406713340556,0.9987307361083508,0.26768806536613443,0.14002475186915533,0.6024807909726342,0.14958146583283333,0.11882377855425919,0.7459768022137949,0.2571692269560875,316.9137539703496,2362.1179444417858
23.0,0.18258186562119252,0.9851028121774683,0.25924073528195396,0.1400882127106236,0.5755929627332402,0.07995943900475566,0.1546728243351831,0.48883085297871776,0.19241710177136745,250.18740987949343,2340.0091104087396
24.0,0.14086933835249466,0.3435394194579825,0.4373454888650091,0.25378733103121115,0.9990051405940339,0.14536290043079664,0.18197166027614017,0.4982747991678021,0.28678481494593083,435.1238417087617,2461.893826961153
25.0,0.21627583798672492,0.9074736274811164,0.2641731725367821,0.14141588161726693,0.536150955386575,0.1301753583957403,0.08505637124506528,0.4550049861145541,0.26373311713620723,280.92801658856206,2350.870977191236
26.0,0.14032683678999303,0.37455056178711515,0.4619410147242862,0.19090402274980214,0.9979562515726988,0.12135620711400091,0.14141396727888733,0.4565139174661653,0.3565545525803304,269.3079163078952,2246.4127665581586
27.0,0.24957342381349087,0.9835407634702776,0.5368355752571923,0.17400545825574065,0.6016279845041959,0.14325891490261589,0.10343158555008158,0.4948668206879236,0.3317954538586504,264.7917687676085,2302.0331886790414
28.0,0.3560326239952927,0.9994661897412714,0.2522359230268746,0.14037259011243003,0.6028122865479263,0.14966833069983976,0.147939787895237,0.7372325656730557,0.20860556414381135,318.1096768604188,2468.6494228573615
29.0,0.2926305598073564,0.9952161344582375,0.25218984378424747,0.14827051586821835,0.6259061188954906,0.1482342468090414,0.19793919105333174,0.6403207878127679,0.18685273141412007,339.5024318982479,2392.3515209012476
30.0,0.1536729385367065,0.3817910221574063,0.5186461114596682,0.14906420105702267,0.9998774477159856,0.12060166671725928,0.2486725964893885,0.40117912267022293,0.31919873043775376,331.649804789134,2276.9299484973944
31.0,0.14547948676589845,0.3442773087416066,0.4426738028270146,0.29863696979082033,0.9967386859142271,0.14130341754709405,0.1298208182914902,0.5123810475953468,0.3259785105546267,288.5199379802438,2226.5086414970033
32.0,0.23491226167136012,0.8231385789664477,0.26192119408521036,0.19037698923373692,0.9936947720286038,0.11373546834287512,0.1582332295808157,0.4504282749487822,0.33626794633760804,265.924253784645,2159.2139952568596
33.0,0.2199391766752691,0.7258718488127832,0.5036175030101431,0.1421356086627954,0.4782278511289886,0.14984971911810907,0.1542645713254094,0.5358723470459401,0.32161055138446165,191.54489475311522,2461.94931127672
34.0,0.1451127632687079,0.33598760544431805,0.44965202697173173,0.2625630234775063,0.9977937205043217,0.11239816328282802,0.21831695770389753,0.40450333275208333,0.31764854198094844,343.2246069363121,2306.1893838182023
35.0,0.1410192209623955,0.3410707613420066,0.43475184655369903,0.2235126518408372,0.9998708994621172,0.12535140095307826,0.2088994304331345,0.4713878651796717,0.30324729344522383,251.68641601496768,2150.3309962767707
36.0,0.16364723469327636,0.9929497925718332,0.49556132624302734,0.14247338145551597,0.42579311697834893,0.12431538768644956,0.2016544115779205,0.5279131161837978,0.15261917611244977,397.60422049505047,2537.808500094679
38.0,0.18755023241908705,0.997294301174475,0.25277776723078804,0.1439210870613454,0.609799887091749,0.14182370207540243,0.1553497677710093,0.5324012035329431,0.22938863675049384,374.3567547001895,2413.8089631988673
39.0,0.17057447441515877,0.9212512175253273,0.315877555518283,0.14634065515014055,0.6912398908540344,0.1464544107282243,0.19079512255984085,0.732540894188788,0.29158356811719827,386.2019973320523,2383.50142704501
40.0,0.1427989078656211,0.3567915126755237,0.4531438584777347,0.23321866841020059,0.9991620075740888,0.14252342298397946,0.21081162455154806,0.4726381654193257,0.3055794702658373,531.674429445854,2559.878460553352
41.0,0.20535249797185487,0.8241319549668795,0.2621314492815559,0.14164662798576333,0.7271362039936375,0.14463821275244232,0.19682976830868298,0.4822726808343643,0.3402185132916645,274.6208271054399,2238.040661833637
42.0,0.19090679464643467,0.8683759729224434,0.3058186041948213,0.14035376238227942,0.4908229774659291,0.14988060279151055,0.11375892676820044,0.4117503860477226,0.24365975333982087,339.7810045871646,2421.543265663535
43.0,0.2111696793998874,0.8487056909949606,0.2536161239051767,0.1412070788671307,0.7262873066079588,0.1399212908330067,0.14676926963894132,0.4239411033003194,0.30016298536913383,260.66643203487854,2278.8831946539003
44.0,0.2728519264818199,0.9995197453369407,0.2607257610968535,0.14290966600520774,0.6090144576600848,0.13824772134592192,0.16408822154312672,0.41693529196533946,0.2036627125565588,345.90769210512144,2371.75540460439
45.0,0.14534262091007594,0.4049304049900133,0.4543655462769043,0.1609078948797079,0.9931123536405176,0.11072059880750501,0.18735498077393853,0.40508809827304587,0.31725890989131406,307.50854378980125,2273.9906019046107
46.0,0.27288637792273374,0.9221910139879586,0.3253443023859381,0.14128430344812942,0.4928097065817949,0.14627394479626804,0.17775675256327997,0.4385363258139538,0.20441513299591196,329.2293380898201,2413.4704059408527
