id,alpha,beta,p,sd_0_sd_r_ratio,tau,X^2,bic
1.0,0.18715153535391432,0.13813489622669273,0.4331898307324093,8.847502921789953,0.22742638378926844,54.20557360813124,1929.2312856141116
2.0,0.07628767691607685,0.46183735658773734,0.26978658531837246,18.12867829495919,0.3842997348607729,48.21480466825299,2018.0112093049372
3.0,0.09597518696035692,0.3830654851451071,0.31862518493272307,1.1009448145615792,0.3258006582206238,72.78797763390907,1979.5548985934602
4.0,0.15518352151984732,0.616182053022282,0.5474897689970054,10.153440090761492,0.43768035927904786,111.49533688361531,1954.5581920054867
5.0,0.08745057149310975,0.48348913781662484,0.2001642596450773,0.3717724555293813,0.3815657161141066,84.53076976323969,2124.959700885329
6.0,0.08930650625630744,0.4079803674702674,0.31842968402375693,24.986753445023997,0.3057967987267324,163.9868054611811,2044.5134082242746
7.0,0.15679290000935936,0.14054965708431066,0.513316135186046,13.314135106533094,0.22655138950168574,104.9924414110811,2066.7578026073547
8.0,0.17833907270923752,0.22209093029726712,0.46301146969594975,15.131149087887543,0.26708167070546257,7.264618469172379,1818.586264637473
9.0,0.18665121102840462,0.17783157656385956,0.48355747169765095,12.657222446440201,0.21679795176832278,10.50448465104943,1821.8261308193498
10.0,0.1070991472450917,0.2913570412511858,0.35754708049614786,18.118248776062167,0.29900561606520626,86.479867260917,2054.1489132152674
11.0,0.13329385745522096,0.3156546709224297,0.20021676891026743,11.08216651270564,0.3673530912960637,55.34285587392933,1996.9476614872608
12.0,0.1876238490525981,0.16933583492144788,0.4096008542265115,14.976240086223818,0.20913325613270634,18.040835705578132,1847.123641584383
13.0,0.07430818600162306,0.5659096634400338,0.2054443676916523,5.124745247846256,0.4031930165582423,26.918302539682248,1951.2199160947332
14.0,0.12398564347314817,0.26351901609269657,0.41977633261260644,14.975225478608834,0.2514566167695462,62.234859625021706,1905.2977147468932
15.0,0.14690725728246865,0.27885264335308185,0.3681516940911847,3.046632618077119,0.4429694834164682,11.021959292642332,1854.3064623450514
16.0,0.11099704892430629,0.4474409566207054,0.363155844529607,0.7829026927972578,0.34512835858440344,131.68251182331173,2006.708223829292
17.0,0.1225498616196405,0.23269141688179695,0.5461902139818402,16.754731818196106,0.3084506583991261,13.859054689733563,1825.1807008580345
