id,alpha,beta,mu_c,characteristic_time,peak_amplitude,tau,X^2,bic
1.0,0.1640892260090423,0.14523687855564338,0.4922373199205183,0.4211830068687001,0.0295010027005857,0.2783401193996556,33.69071881149371,1908.7164308174738
2.0,0.08959425970897819,0.3395461284171185,0.32687986520670376,0.5191565886340637,0.07623971663934165,0.3570603760069336,47.45651042632278,2017.2529150630073
3.0,0.30501406896335137,0.7134084011263928,0.44629420472643316,0.2934328866286549,0.059122586181925146,0.29712553893688437,201.40772958440292,2108.1746505439532
4.0,0.3470376599433661,0.6697885625657202,0.7357162919087312,0.3959668600610899,0.0625375801487296,0.37796094057897467,95.46933794383432,1938.532193065706
5.0,0.08515671307034647,0.4882904931438634,0.2118758313760642,0.5784092989207872,0.02477031015256026,0.3918372040445385,159.92395215865716,2200.3528832807465
6.0,0.3358410732899843,0.7318906516676258,0.5324554668088777,0.4117664597112539,0.045008047215414695,0.27904093749901615,299.1807533807125,2179.707356143806
7.0,0.10759493490316299,0.31433694926644073,0.3833761912843986,0.39133569557561976,0.17442008223398459,0.29259747003770015,72.23262849213259,2033.997989688406
8.0,0.10980801774892568,0.47795055953207766,0.303318136949315,0.4736131359911244,0.072589550937945,0.39423965649321613,12.297798306015945,1823.6194444743164
9.0,0.1347011014796174,0.34385358281920936,0.38918497671002394,0.02426632572305637,0.19689571059859495,0.29529955764398164,35.93421781158391,1847.2558639798845
10.0,0.10002917487772835,0.3033706224513542,0.3043767856286155,0.014583808481019811,0.0684581987688076,0.3192652797453741,92.00074414688582,2059.6697901012362
11.0,0.15924880918384793,0.37731391677332327,0.2213311410839145,0.3966738108900184,0.06860584225237296,0.32766250511318423,64.11860779573843,2005.7234134090697
12.0,0.23379500746665322,0.19336194453305355,0.461174448208797,0.5307341522767645,0.04708243172097676,0.16518200280020023,15.716717418557113,1844.799523297362
13.0,0.0914081900893432,0.5312369536910673,0.21315648901681322,0.6561471308382879,0.036614657469821704,0.37554184594326967,50.14440578119987,1974.4460193362504
14.0,0.2879728315697479,0.5225695329713741,0.5244658891584318,0.010583930831595756,0.3227254342914262,0.20232945043435197,115.81714283663896,1958.8799979585106
15.0,0.337519124513821,0.07620393583672885,0.573461183714486,0.3893505015188722,0.03956980091254514,0.1580830619779507,26.740162598520495,1870.0246656509298
16.0,0.37884382967662766,0.6839561871456656,0.5198287297058503,0.022154159221959957,0.07436371271829104,0.256833211332927,162.15082728662017,2037.1765392926002
17.0,0.138372566063434,0.31770953255670076,0.5012811734792989,0.5176107047779753,0.0980113949244318,0.307843737116553,5.436568563434477,1816.7582147317348
18.0,0.11693763195717886,0.4155362750682853,0.25873102607458737,0.4896166761105163,0.05246335149008083,0.37557738420196285,96.15530201328156,1971.1810140192615
